Names	total	elements
		NTN4
		FNTB
		HIST1H3E
		DSE
		OSBPL3
		GABPB1-AS1
		DCAF11
		USP9Y
		PANK1
		SPP1
		PLA2G4C
		BARD1
		PHGDH
		NPHP3-ACAD11///ACAD11///NPHP3
		SPDL1
		GNS
		PHOSPHO2
		RAB11FIP4
		IMPAD1
		AADACP1
		SPIDR
		MCM10
		TCF19
		SAT2
		NUP133
		CBS
		ADH1C
		PPID
		CYP2C9
		DNMT3A
		CD200
		GCGR
		ITGA6
		ZNF468
		CYP2A7
		SC5D
		PRKDC
		CCL4
		CLEC4M
		NPY1R
		UBE2Q2
		CLDN10
		ACLY
		ESR1
		LOC389834
		GCH1
		FAM72A///FAM72D///FAM72B///FAM72C
		FAM199X
		MCM5
		TMEM106C
		MELK
		RBM3
		PODXL
		MXRA5
		GPX2
		ZKSCAN1
		DLEU2
		NPNT
		RBP7
		DMGDH
		CDKN2B
		TPD52L1
		LOC101927331
		HN1
		CDH11
		MFAP3L
		SLC7A11
		NDC80
		ZBTB41
		ITGA2
		GPR182
		MME
		NME1-NME2///NME2
		CEP68
		LPAL2
		SLC5A3
		RPS4Y1
		UNKL
		ART4
		OIP5
		ACAA2
		CCNA2
		GTSE1
		ZFP1
		MRC1
		MAVS
		GPR160
		BGN
		NUF2
		COCH
		BROX
		ALAS1
		NAA40
		MSTO1
		CLIC1
		PDK4
		GPM6A
		PSMA5
		LOC100130872///SPON2
		AGA
		NNMT
		MAGI2-AS3
		STAT1
		SAMD5
		COL8A1
		SEC61A1
		SERPINA4
		MIR1247///DIO3OS
		EPHB1
		TARBP1
		CYP2B7P///CYP2B6
		TRIM16
		STMN1
		HABP2
		GTPBP2
		GALNT10
		CRNDE
		STK39
		TRIM6
		GCDH
		APOF
		CD109
		CKS2
		ANGPTL1
		BSG
		MRO
		ZNF862
		PDE7B
		AVL9
		TBC1D16
		DNAJB11
		ECT2
		SLC38A6
		DEPDC1
		LOC101927137///CCT3
		ASPN
		GRAMD1C
		SMOC2
		ABCC9
		HBA2///HBA1
		ANXA2
		CYP4A22///CYP4A11
		CCL3L3///CCL3L1///CCL3
		GREM2
		CCDC102B
		NPAS2
		INPP5F
		IQGAP3
		SDS
		PDZK1IP1
		VASH2
		LOC101926960
		INTS7
		BRI3BP
		DBH-AS1
		COL4A2
		KDM5B
		CCL23
		ZFP62
		HMOX1
		LINC01554
		C12orf49
		GGACT
		METTL18
		FOXP2
		ERAP2
		RABIF
		SMAD2
		TMEM68
		LOC101929036///PAH
		HEATR5A
		MTFR2
		TSIX
		CENPE
		CCL18
		AXL
		CYP3A7-CYP3A51P
		TSPAN12
		SPAG5
		SLC10A1
		GIPC2
		GTF2IP4///GTF2IP1///GTF2I
		SLC44A3
		SLC31A1
		UROC1
		INS-IGF2///IGF2
		HDAC4
		MT1E
		HS3ST3B1
		CTNNA1
		SFXN1
		CBX4
		PFKFB2
		ANXA10
		TBCE
		TTC36
		ATP9A
		FNIP2
		TSKU
		DKK3
		OCLN
		PTBP3
		DMXL2
		MIR452///MIR224///GABRE
		MOGAT3
		GYS2
		MDM2
		TAP2
		THSD7A
		BLVRA
		KLHL15
		CXCL2
		GNAI1
		NDRG1
		FBXO9
		CHML
		CAPN2
		SEC22C
		NKX3-1
		CCNB2
		TTC39A
		AQP3
		MCM7
		LYVE1
		PRC1
		ASPG
		STAB1
		DDX3Y
		LGALS3
		SRD5A1
		PALM3
		SLC22A15
		NAAA
		UPB1
		PDGFA
		DNAJC25-GNG10///DNAJC25
		P3H2
		MUT
		LEPROT///LEPR
		CFL1
		NPIPA5///NPIPB5///LOC613037///NPIPB4///NPIPB3
		SMARCA4
		NAT2
		CENPW
		MASP2
		AGL
		TCEB1
		CEP55
		DTYMK
		AKR1D1
		TTL
		CEMIP
		XIST
		ENPEP
		GNE
		ID2B///ID2
		ZNF544
		FAIM
		LIPG
		G6PD
		FEZ1
		EHD4
		MIR6884///MED24
		TACSTD2
		PPP2R2A
		PVALB
		WNT11
		""
		ACSL1
		PTPRG
		TXNRD1
		SLC16A4
		LOC105379499///FLJ45482
		CPNE6
		CCNE2
		CYP3A43
		TMEM38B
		LOC105378749
		UXS1
		HSP90AB1
		SEMA6D
		IER5
		CMTM4
		NTF3
		GCKR
		ARPC1B
		SSR2
		GLDC
		AMDHD1
		FBP1
		VARS
		ADH4
		MCM2
		OIT3
		MCM4
		LINC01018
		DCAF13
		MCC
		SLC26A2
		UPK3BL///POLR2J3///POLR2J2///POLR2J
		ID2
		ARSD
		CETP
		PHLDA2
		CNIH4
		PSMD4
		ADIRF
		RHOQ
		HBB
		MT1HL1
		NR0B2
		SSR1
		PDE4B
		SRPX
		SEC14L2
		CSNK1G1
		TAPT1-AS1
		DLGAP5
		PCDH17
		CLIP4
		LUC7L3
		MECOM
		RAD51AP1
		ZSCAN31
		DDX17
		MIR7112///BOP1
		LRRC1
		PEG3
		TIPRL
		CXCL10
		PLG
		RAP2A
		HAND2-AS1
		COL4A1
		RNASE1
		HERC5
		TBC1D7
		MKI67
		GLS
		TSLP
		SPP2
		EIF1AY
		HAO2
		MT1F
		LOC101927345///LOC101060632///LOC101059949///ANKRD20A12P
		PLPP3
		LOX
		SYPL1
		FGF13
		SLC39A10
		KIF3A
		TGFBR3
		DCXR
		PDIA6
		PTGFRN
		MIR6734///ELOVL1
		SUCO
		KCNN2
		LPL
		CAT
		GSTZ1
		SLC6A12
		EVA1A
		LYZ
		RARRES1
		OLFML3
		NCOA2
		GJC1
		CNDP1
		S100PBP
		FAXDC2
		GPC3
		CDKN2C
		DOK5
		PDGFRA
		SLC46A3
		DMD
		TCTEX1D1
		LSM2
		KLHL5
		PPP1R1A
		SOCS5
		SOWAHA
		CCBE1
		DLG5
		PLA2G16
		FXYD1
		KMO
		MASP1
		BLZF1
		MIR675///H19
		CENPK
		SLC27A2
		MUC13
		APOC4-APOC2///APOC4///APOC2
		MARCO
		CTSA
		ADNP
		AGXT
		LCAT
		LOC101927752
		KIAA1462
		GTF2H2B///GTF2H2
		C11orf96
		DHRS1
		RSPO3
		SDF2L1
		IGFBP3
		ZNF207
		KLF13
		ALB
		ALMS1
		HAMP
		DCN
		PLVAP
		CYP8B1
		WDYHV1
		LONRF1
		JDP2
		ERRFI1
		RNA45S5
		SBNO1
		HIST1H1C
		STX6
		CIDEB
		HIST2H2AA4///HIST2H2AA3
		KIAA0101
		PIGC
		TPR
		TIMD4
		CPN2
		STAB2
		HGFAC
		SEPT6
		MT2A
		ZNF57
		CDA
		ZFY
		HSD17B14
		C8orf33
		MCM8
		TMEM56
		FKBP11
		NME1
		SESTD1
		SLC4A4
		PRCC
		KAZN
		PZP
		RFC5
		LPCAT1
		COL1A2
		DTNA
		SERPINA5
		TMOD3
		AMIGO2
		TP53RK
		ITIH4
		CCT6A
		LOC101930489///MIR4435-2HG///LINC00152
		LAPTM4B
		HGF
		GGT5
		BAAT
		NEK2
		ACSL4
		HIST2H2BE
		RCN2
		VPS45
		TP53BP2
		BOLA2B///BOLA2
		ALPL
		TMEM206
		PDLIM5
		MAP3K9
		C1QTNF1
		PLGLB1///PLGLB2
		ACKR3
		GOLPH3L
		C9
		PSD3
		PNP
		CKAP4
		FANCD2
		MCTP1
		PSPH
		CBFA2T3
		ESM1
		BAIAP2L1
		E2F8
		STT3A
		PTN
		C1orf106
		SPINK1
		TEKT4P2///MAFIP///LOC389834
		ATRX
		RCBTB1
		CXCL14
		TGFB2
		MPZL2
		RIDA
		MROH2A
		FRMD3
		C1R
		LOC101930591///FAM21A///FAM21C
		DEPDC1B
		RASSF3
		PROZ
		UGGT1
		C8A
		DCK
		RFX5
		CAPN3
		RDH13
		HMGB3
		ENPP4
		HCP5
		MID1IP1
		SMARCC1
		GPR180
		CD4
		LDHD
		TUG1
		SYNPO2
		CDK5RAP2
		CD1D
		MBL2
		SOX4
		UGT3A1
		MSN
		SLCO1B3
		MFSD6
		FLVCR1
		LOC101930241///ARHGEF4
		LOC100509445///LOC728715///OVOS///OVOS2
		TBC1D31
		PLIN4
		TRPM8
		ILF2
		ASCC3
		BASP1
		PNPLA4
		FCGR2B
		BCO2
		RMDN2
		MAPKAPK5-AS1
		SQSTM1
		C3P1
		GLUD2
		PHOSPHO2-KLHL23///KLHL23
		DACH1
