Names	total	elements
		PIGR
		SIRT4
		ARID5B
		FLNC
		ITGB1BP3
		SIPA1L2
		PAPPA
		DHRS13
		CALCA
		SERPINA1
		RET
		FADS2
		IL1RL1
		GAGE12J
		C1orf51
		AFP
		PIM1
		BATF3
		GAGE12C
		IFIT2
		IP6K3
		ANXA9
		THBD
		NOL3
		EMP1
		MYBPH
		C2orf82
		SERPINB2
		MTHFD2
		SLC22A11
		LRIG3
		ZC3H12A
		MAP3K8
		C2CD4B
		LYST
		FRMD6
		C21orf63
		NCAPG2
		CSF3
		OR4F5
		C14orf143
		ADAMTS4
		C14orf80
		LOC148413
		C10orf140
		MYH11
		NCRNA00152
		IRAK3
		P2RY2
		IER5L
		GPRC5A
		SOX17
		MIDN
		TMEM169
		RRS1
		KCNK1
		PFKFB3
		MCAM
		AGFG2
		PNRC1
		RALGDS
		PTX3
		UGT1A6
		DKFZp686O24166
		PRSS3
		C10orf10
		GRAMD4
		AMACR
		TMEM20
		NAGS
		GRIA3
		PELI1
		DCDC2
		SEMA4B
		MTUS1
		TNFRSF12A
		EGR3
		LIN28
		TMPRSS2
		IL6
		C18orf56
		FGF14
		CDC2
		EPHA1
		PROL1
		FAM169B
		CREB5
		PPAN
		THAP2
		SHD
		TAGLN
		GFRA3
		IVNS1ABP
		GIMAP2
		SORCS1
		FOSL2
		CMTM2
		HTR2B
		SLC5A12
		ONECUT1
		CRYAA
		C8orf47
		TGFB3
		IFI6
		MIR548I1
		LOC201229
		C17orf96
		EIF5
		MB
		CHST9
		ODF3L1
		C2orf54
		SLC16A13
		CASC5
		ACSM1
		SLC12A1
		TUBB6
		DKFZP564J102
		NR5A2
		PCDH24
		CXCL9
		ANKRD5
		FLJ45445
		ANKRD29
		SPC25
		HNF4A
		CNTNAP2
		RASD1
		RTP4
		C9orf125
		CEBPA
		RASL10A
		PDE11A
		RRP12
		BAZ1A
		KIAA0133
		CD3G
		PREI3
		RNF214
		ZNF295
		FYTTD1
		SERPINE1
		ROM1
		ACTG2
		FAM124B
		CDH23
		C19orf23
		CIT
		MIR146B
		OR4F21
		C6orf129
		MMP25
		GPER
		UPP1
		RPGR
		PDLIM3
		FAM107A
		SNORD19
		RAB27A
		UNC119
		CCDC121
		GPM6B
		BCL3
		JUB
		IL8RB
		MAK
		C13orf15
		FRMD7
		SBK2
		PJCG6
		PEG10
		ETNK1
		ORC6L
		LPAR1
		GEM
		CCL3
		ERN1
		C18orf10
		TNFSF14
		TRIM15
		RND1
		ITPRIP
		DLEU1
		FJX1
		CLCF1
		HDC
		APOL3
		CD274
		TNFRSF10D
		FOSL1
		MAL2
		POM121L4P
		LOC730101
		C2CD4A
		SNORA17
		NLF2
		C19orf59
		PMS2
		HIST1H2BF
