ID_REF,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10a,197.5931726,326.6101706,178.1484186,106.2717314,306.9106652,232.9372612,159.8801029,883.8607571,821.5138667,171.5991339,211.043667,201.2237417,182.5947201,214.4130429,241.4591691,207.3080679,195.9261918,187.0702943,223.7525842,180.941716,168.3927189
hsa-miR-10a*,55.47115576,74.30081989,61.25841677,50.3170182,76.37121889,64.07822653,82.16193647,196.6559728,169.8091774,149.3663957,202.2769807,260.0243693,176.4191794,161.9129742,203.4812242,198.9143625,131.0458406,176.4685969,214.1781771,166.0626104,142.688636
hsa-miR-1234,540.1927202,684.6916387,529.2366199,603.0160113,578.9500842,564.8473568,613.1248592,2393.125478,2100.750794,7527.016248,3804.49664,12191.25611,7470.616045,10065.6018,3941.358147,6390.527506,6982.288392,3435.897526,4705.723618,14361.05071,3447.75731
hsa-miR-143,1764.663127,1413.790181,861.1202528,553.3167248,2451.380512,921.0815417,675.4143799,2860.270701,2522.002921,591.3362852,788.5223386,778.1761285,566.8751475,1537.864792,1186.35422,1181.210871,866.8774738,942.2825635,922.9879851,1388.804926,780.0649299
hsa-miR-143*,825.0299924,874.1088193,896.9731245,954.0690014,938.0173429,948.0045888,887.7401352,2044.138954,2046.085287,2132.796231,3216.559826,3925.617025,2563.02937,2256.723111,3383.253639,2836.843633,1986.327747,2757.195505,3229.028045,2514.458627,2259.770967
hsa-miR-146b-3p,56.0372727,72.20156674,74.44355268,72.45870782,80.49727181,69.16279541,81.33208093,178.3958319,156.0240604,264.0712999,395.3343046,370.5245697,249.4309537,221.8325563,457.8086777,356.2957392,212.849034,394.2246279,420.8682596,275.8544133,319.1638061
hsa-miR-146b-5p,182.8343485,263.5870714,233.4738161,108.3967992,490.7793784,386.4893016,298.8106674,645.5697185,592.2364695,245.2711366,295.8773467,256.8642421,296.6654042,260.7983178,313.9356563,244.7679723,284.9415057,295.6608071,357.1442697,179.1580221,297.9190392
hsa-miR-150,316.4497464,605.8043916,374.5857137,391.1942284,502.2103652,589.7098435,286.3997198,1248.225438,1159.940492,291.2174456,428.1351318,514.2338461,401.322542,414.3923389,449.843165,420.8094289,336.3715086,332.4323759,432.3082613,416.9815139,354.3398242
hsa-miR-150*,152.8708305,171.9992976,179.6413502,182.5359896,180.9138782,174.6661224,183.7425532,440.4586554,382.2100405,609.0527212,935.6495222,1103.81831,701.7908558,665.8079642,1026.891548,973.530705,516.797057,827.2554056,877.9800637,707.2791599,653.7793436
hsa-miR-155,57.21944143,77.03529625,65.94638643,48.58647579,108.7571534,107.0319284,75.60319629,217.7848306,203.5134372,108.8007701,149.7320614,164.3496402,141.3398282,118.1197734,133.3948083,148.0957668,105.0417079,117.8563879,157.1435253,119.13844,108.1969744
hsa-miR-155*,43.92462681,62.4096886,57.45713915,44.92927485,58.72191715,54.64854517,61.31805726,120.4198967,100.9153486,135.0951114,219.9828671,243.4090415,147.0226355,145.3472924,223.891805,181.9087374,115.4549942,171.9127174,195.7375024,152.2518434,133.0463035
hsa-miR-181d,77.36987314,91.47188747,72.04314007,67.34843587,104.5600213,83.2468308,80.98144741,232.2521733,216.7007346,157.8675476,217.835548,284.3716208,195.3656319,193.2111007,228.4328846,232.3629954,158.609046,201.1671034,270.5650296,196.7743411,171.4715713
hsa-miR-182,36.66293907,67.19254872,53.85007546,38.42400074,57.24798432,57.20454062,59.7237535,175.7828191,161.0461342,129.9105264,185.7870271,200.2818917,150.2466942,142.7095404,193.5302624,181.293898,110.4048414,156.8119373,194.7606698,138.650161,125.8418065
hsa-miR-182*,47.57781327,64.50550307,65.35017749,51.26449825,77.56730829,76.7149489,77.2367871,185.789605,173.9173853,183.4615593,252.1198946,308.2003891,196.5510508,177.9309587,274.9838275,255.9908256,161.7647332,261.0589911,286.4808673,189.6629796,217.2331628
hsa-miR-192;hsa-miR-215,1117.144679,844.6349174,747.582342,422.9248231,1166.824783,765.3281446,1021.025242,1726.008518,1663.840697,1951.481421,1222.560952,1328.089803,1602.124529,1605.988794,2553.606051,1381.069061,1504.394556,1561.27959,1311.233338,971.3891416,1398.386158
hsa-miR-193b,350.4941698,321.9833994,314.8030991,274.1446772,370.84095,333.1493748,380.3674746,721.0781411,589.5206006,792.2432304,783.1914085,835.6214919,708.0084208,642.7607217,905.6905403,792.0517436,696.3310719,858.3150504,831.603904,684.5033701,714.6449633
hsa-miR-193b*,1118.729665,1254.619335,1116.275965,1264.341705,1466.014421,1132.092675,1199.673938,3472.937211,3431.339229,4153.436616,7064.9032,9570.105245,4836.318933,4459.074114,7362.802649,7505.461435,3765.683177,5661.062592,7224.268314,4653.263137,4376.721584
hsa-miR-199a-3p;hsa-miR-199b-3p,1203.471472,1674.776537,1136.807915,986.7454387,2057.574498,1253.027663,942.3492105,3788.213946,3143.469089,625.1847766,1266.431494,679.5892802,748.8777704,1245.143695,850.7089152,1081.822549,842.3857517,883.2188024,896.2900537,813.4481696,882.5805309
hsa-miR-199b-5p,208.9830665,200.8596971,244.45453,222.5331014,255.1981899,207.019618,195.3824301,472.360193,399.9090976,545.5784563,932.0243752,1303.225468,765.4435464,624.0634452,977.5855414,1141.973066,577.4055623,885.126712,1004.049913,694.9529252,628.9497443
hsa-miR-200a,272.993411,330.4088362,95.41268026,77.96177631,331.7672532,232.4689008,97.70922501,816.5629529,750.7425155,121.1853701,189.5761182,176.1980893,127.3917565,139.2214965,162.4512542,166.1574289,201.8243796,158.0429396,158.5209696,115.6625614,135.4940085
