"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"SPOT_ID"
"S_Control0010"	"1.91e-06"	"1.16e-06"	"-6.2939"	"5.18828"	"-1.44881"	"CONTROL"
"hsa-miR-374a"	"1.91e-06"	"1.17e-06"	"-6.2932"	"5.18646"	"-1.101"	""
"hsa-miR-301a"	"1.91e-06"	"1.17e-06"	"-6.2927"	"5.18507"	"-1.17651"	""
"hsa-miR-378"	"1.97e-06"	"1.21e-06"	"-6.2788"	"5.14968"	"-1.1107"	""
"hsa-miR-376a"	"2.04e-06"	"1.25e-06"	"-6.2643"	"5.11256"	"-1.1452"	""
"hsa-miR-339"	"2.09e-06"	"1.29e-06"	"-6.2527"	"5.08291"	"-1.15682"	""
"hsa-miR-1"	"2.09e-06"	"1.29e-06"	"-6.2525"	"5.08253"	"-1.17489"	"NA"
"hsa-miR-499"	"2.17e-06"	"1.35e-06"	"-6.2369"	"5.04265"	"-1.13592"	""
"hsa-miR-302b"	"2.32e-06"	"1.44e-06"	"-6.2108"	"4.97574"	"-1.18042"	""
"hsa-miR-203"	"2.32e-06"	"1.44e-06"	"-6.2097"	"4.97298"	"-1.57988"	""
"hsa-miR-576"	"2.38e-06"	"1.49e-06"	"-6.1981"	"4.94322"	"-1.13878"	""
"hsa-miR-578"	"2.39e-06"	"1.49e-06"	"-6.1971"	"4.94068"	"-1.13019"	""
"hsa-miR-376a;hsa-miR-376b"	"2.65e-06"	"1.66e-06"	"-6.1542"	"4.8306"	"-1.35606"	""
"hsa-miR-328"	"2.65e-06"	"1.67e-06"	"-6.1531"	"4.82784"	"-0.88017"	""
"hsa-miR-299"	"2.65e-06"	"1.67e-06"	"-6.153"	"4.82773"	"-1.16219"	""
"hsa-miR-568"	"2.67e-06"	"1.69e-06"	"-6.1486"	"4.81636"	"-1.28881"	""
"hsa-miR-34b"	"2.67e-06"	"1.69e-06"	"-6.1482"	"4.8154"	"-2.08153"	""
"hsa-let-7f-2"	"2.68e-06"	"1.69e-06"	"-6.1471"	"4.8126"	"-1.11627"	"NA"
"hsa-miR-769"	"2.74e-06"	"1.74e-06"	"-6.1375"	"4.78794"	"-1.16815"	""
"hsa-miR-32"	"2.78e-06"	"1.77e-06"	"-6.13"	"4.76867"	"-1.25077"	""
"hsa-miR-380"	"2.78e-06"	"1.77e-06"	"-6.1297"	"4.76791"	"-1.07934"	""
"hsa-miR-302a"	"2.83e-06"	"1.80e-06"	"-6.1224"	"4.74915"	"-1.1921"	""
"hsa-miR-9"	"2.83e-06"	"1.81e-06"	"-6.1213"	"4.74632"	"-1.09805"	""
"hsa-miR-409"	"2.89e-06"	"1.85e-06"	"-6.1125"	"4.72371"	"-1.10819"	""
"hsa-miR-15b"	"3.09e-06"	"1.99e-06"	"-6.0851"	"4.65335"	"-1.07431"	""
"hsa-miR-516a"	"3.60e-06"	"2.32e-06"	"-6.0248"	"4.49821"	"-1.02278"	""
"hsa-miR-548c"	"4.03e-06"	"2.60e-06"	"-5.9801"	"4.38301"	"-0.85886"	""
"hsa-miR-205"	"4.12e-06"	"2.66e-06"	"-5.971"	"4.35942"	"-2.11523"	""
"hsa-miR-138-2"	"4.13e-06"	"2.68e-06"	"-5.9692"	"4.35484"	"-0.86463"	"NA"
"hsa-miR-362"	"4.17e-06"	"2.71e-06"	"-5.965"	"4.34389"	"-1.09863"	""
"hsa-miR-875"	"4.19e-06"	"2.73e-06"	"-5.9618"	"4.33566"	"-0.98283"	""
"hsa-miR-876"	"4.22e-06"	"2.75e-06"	"-5.9584"	"4.327"	"-1.36257"	""
"hsa-miR-137"	"4.28e-06"	"2.80e-06"	"-5.9523"	"4.31114"	"-1.11409"	"NA"
"hsa-miR-450b"	"4.68e-06"	"3.06e-06"	"-5.9167"	"4.21929"	"-1.02262"	""
"hsa-miR-181c"	"5.07e-06"	"3.32e-06"	"-5.8852"	"4.13794"	"-1.067"	""
"hsa-miR-942"	"5.18e-06"	"3.40e-06"	"-5.876"	"4.11411"	"-1.45716"	""
"hsa-miR-135b"	"5.27e-06"	"3.47e-06"	"-5.8683"	"4.0943"	"-1.52934"	"NA"
"hsa-miR-381"	"5.43e-06"	"3.58e-06"	"-5.8563"	"4.0631"	"-1.01054"	""
"hsa-miR-411"	"5.43e-06"	"3.59e-06"	"-5.8557"	"4.06157"	"-1.12033"	""
"hsa-miR-369"	"5.56e-06"	"3.69e-06"	"-5.8453"	"4.03479"	"-1.08824"	""
"hsa-miR-129"	"5.80e-06"	"3.85e-06"	"-5.8285"	"3.99123"	"-1.20495"	"NA"
"hsa-miR-655"	"6.29e-06"	"4.19e-06"	"-5.7963"	"3.90771"	"-1.05405"	""
"hsa-miR-338"	"6.29e-06"	"4.19e-06"	"-5.7955"	"3.90566"	"-1.20276"	""
"hsa-miR-153"	"6.77e-06"	"4.52e-06"	"-5.7663"	"3.82999"	"-1.08712"	""
"hsa-miR-579"	"7.14e-06"	"4.78e-06"	"-5.7449"	"3.7745"	"-1.01239"	""
"hsa-miR-597"	"7.14e-06"	"4.79e-06"	"-5.7441"	"3.77256"	"-0.99737"	""
"hsa-miR-556"	"7.17e-06"	"4.82e-06"	"-5.7419"	"3.76667"	"-1.05039"	""
"hsa-miR-601"	"7.36e-06"	"4.96e-06"	"-5.731"	"3.73835"	"-1.19978"	""
"hsa-miR-1237"	"7.59e-06"	"5.12e-06"	"-5.7187"	"3.70656"	"-1.10203"	"NA"
"hsa-miR-877"	"7.63e-06"	"5.16e-06"	"-5.7158"	"3.69895"	"-1.29216"	""
"hsa-miR-624"	"7.75e-06"	"5.25e-06"	"-5.7091"	"3.68161"	"-1.03871"	""
"hsa-miR-493"	"8.16e-06"	"5.54e-06"	"-5.6886"	"3.62836"	"-1.0847"	""
"hsa-miR-609"	"8.18e-06"	"5.57e-06"	"-5.6865"	"3.6229"	"-1.27694"	""
"hsa-miR-219"	"8.36e-06"	"5.70e-06"	"-5.6775"	"3.5994"	"-1.03912"	""
"hsa-miR-554"	"8.41e-06"	"5.74e-06"	"-5.6746"	"3.5919"	"-0.84801"	""
"hsa-miR-651"	"8.75e-06"	"5.99e-06"	"-5.6584"	"3.54979"	"-1.00535"	""
"hsa-miR-1229"	"8.82e-06"	"6.05e-06"	"-5.6548"	"3.5406"	"-1.84668"	"NA"
"hsa-miR-532"	"9.08e-06"	"6.25e-06"	"-5.6423"	"3.50808"	"-1.11405"	""
"hsa-miR-577"	"9.08e-06"	"6.25e-06"	"-5.6421"	"3.50754"	"-1.10396"	""
"hsa-miR-33a"	"9.21e-06"	"6.35e-06"	"-5.6357"	"3.49082"	"-1.01745"	""
"hsa-miR-21"	"1.02e-05"	"7.07e-06"	"-5.595"	"3.38486"	"-1.05213"	""
"hsa-miR-144"	"1.02e-05"	"7.08e-06"	"-5.5944"	"3.38339"	"-1.11015"	"NA"
"hsa-miR-592"	"1.12e-05"	"7.80e-06"	"-5.5573"	"3.28671"	"-1.20006"	""
"hsa-miR-452"	"1.14e-05"	"7.92e-06"	"-5.5511"	"3.27073"	"-0.97099"	""
"hsa-miR-365"	"1.15e-05"	"8.04e-06"	"-5.5455"	"3.25604"	"-0.9664"	""
"hsa-miR-511"	"1.22e-05"	"8.54e-06"	"-5.5226"	"3.19639"	"-1.17385"	""
"hsa-miR-216a"	"1.27e-05"	"8.91e-06"	"-5.506"	"3.1531"	"-0.9704"	""
"hsa-miR-765"	"1.30e-05"	"9.13e-06"	"-5.4967"	"3.12876"	"-1.36475"	""
"hsa-miR-190"	"1.32e-05"	"9.26e-06"	"-5.4915"	"3.11539"	"-0.97098"	""
"hsa-miR-411"	"1.33e-05"	"9.34e-06"	"-5.4883"	"3.1069"	"-1.15727"	""
"hsa-miR-361"	"1.41e-05"	"9.96e-06"	"-5.4636"	"3.04255"	"-1.07153"	""
"hsa-miR-181c"	"1.51e-05"	"1.07e-05"	"-5.4371"	"2.97328"	"-1.18235"	""
"hsa-miR-424"	"1.55e-05"	"1.09e-05"	"-5.4276"	"2.94863"	"-1.18638"	""
"hsa-miR-652"	"1.60e-05"	"1.13e-05"	"-5.4145"	"2.91441"	"-1.00395"	""
"hsa-miR-197"	"1.64e-05"	"1.17e-05"	"-5.4035"	"2.88572"	"-1.37955"	""
"hsa-miR-587"	"1.67e-05"	"1.19e-05"	"-5.396"	"2.8662"	"-1.0347"	""
"hsa-miR-302c"	"1.72e-05"	"1.23e-05"	"-5.3843"	"2.83565"	"-0.92726"	""
"hsa-miR-324"	"1.83e-05"	"1.31e-05"	"-5.3593"	"2.77034"	"-1.12416"	""
"hsa-miR-10a"	"1.93e-05"	"1.38e-05"	"-5.3388"	"2.71668"	"-1.12167"	"NA"
"hsa-miR-33b"	"1.99e-05"	"1.43e-05"	"-5.3266"	"2.68482"	"-1.07701"	""
"hsa-miR-483"	"2.04e-05"	"1.47e-05"	"-5.3161"	"2.65729"	"-1.32703"	""
"hsa-miR-30d"	"2.14e-05"	"1.54e-05"	"-5.2968"	"2.607"	"-1.01979"	""
"hsa-miR-521"	"2.39e-05"	"1.72e-05"	"-5.2548"	"2.49726"	"-1.13465"	""
"hsa-miR-487a"	"2.46e-05"	"1.78e-05"	"-5.2425"	"2.46485"	"-0.95853"	""
"hsa-miR-340"	"2.48e-05"	"1.79e-05"	"-5.2396"	"2.45749"	"-0.99452"	""
"hsa-miR-423"	"2.48e-05"	"1.80e-05"	"-5.2378"	"2.45276"	"-1.06187"	""
"hsa-miR-101"	"2.50e-05"	"1.82e-05"	"-5.234"	"2.44286"	"-1.05691"	"NA"
"hsa-miR-182"	"2.61e-05"	"1.90e-05"	"-5.2183"	"2.40163"	"-1.21698"	""
"hsa-let-7b"	"2.69e-05"	"1.96e-05"	"-5.2059"	"2.36933"	"-1.14756"	"NA"
"hsa-miR-28"	"2.81e-05"	"2.05e-05"	"-5.1885"	"2.32376"	"-1.04862"	""
"hsa-miR-100"	"2.83e-05"	"2.07e-05"	"-5.1853"	"2.31537"	"-0.86869"	"NA"
"hsa-miR-130b"	"3.20e-05"	"2.34e-05"	"-5.1375"	"2.19031"	"-1.08343"	"NA"
"hsa-miR-302d"	"3.34e-05"	"2.45e-05"	"-5.1205"	"2.1457"	"-1.12927"	""
"hsa-miR-33a"	"3.52e-05"	"2.59e-05"	"-5.0998"	"2.09168"	"-1.02309"	""
"hsa-miR-335"	"3.75e-05"	"2.77e-05"	"-5.0747"	"2.02602"	"-0.96632"	""
"hsa-miR-363"	"3.75e-05"	"2.77e-05"	"-5.0746"	"2.02555"	"-0.97236"	""
"hsa-let-7a"	"4.31e-05"	"3.19e-05"	"-5.0206"	"1.88437"	"-0.94592"	"NA"
"hsa-miR-653"	"5.01e-05"	"3.72e-05"	"-4.9628"	"1.73295"	"-1.10438"	""
"hsa-miR-202"	"5.34e-05"	"3.97e-05"	"-4.9381"	"1.66849"	"-1.01161"	""
"hsa-miR-181d"	"5.45e-05"	"4.06e-05"	"-4.9296"	"1.64611"	"-1.00824"	""
"hsa-miR-598"	"5.46e-05"	"4.07e-05"	"-4.9284"	"1.64293"	"-0.90774"	""
"hsa-miR-28"	"5.76e-05"	"4.30e-05"	"-4.9074"	"1.58809"	"-0.9152"	""
"hsa-miR-615"	"5.81e-05"	"4.35e-05"	"-4.9033"	"1.57738"	"-1.02886"	""
"hsa-miR-133a;hsa-miR-133b"	"6.62e-05"	"4.96e-05"	"-4.8534"	"1.44686"	"-0.9636"	"NA"
"hsa-miR-154"	"7.44e-05"	"5.59e-05"	"-4.8081"	"1.3283"	"-1.01003"	""
"hsa-miR-517c;hsa-miR-519a;hsa-miR-519b"	"7.44e-05"	"5.60e-05"	"-4.8072"	"1.32615"	"-0.86955"	""
"hsa-miR-148a"	"7.44e-05"	"5.60e-05"	"-4.8071"	"1.32579"	"-0.89871"	""
"hsa-miR-122"	"8.48e-05"	"6.41e-05"	"-4.7565"	"1.19343"	"-0.88725"	"NA"
"hsa-miR-500"	"8.48e-05"	"6.41e-05"	"-4.7563"	"1.19303"	"-0.84264"	""
"hsa-miR-885"	"9.06e-05"	"6.86e-05"	"-4.7306"	"1.12582"	"-1.04702"	""
"hsa-miR-211"	"9.74e-05"	"7.39e-05"	"-4.7023"	"1.05198"	"-0.887"	""
"hsa-miR-194"	"1.09e-04"	"8.33e-05"	"-4.657"	"0.9337"	"-0.75312"	""
"hsa-miR-497"	"1.09e-04"	"8.33e-05"	"-4.6569"	"0.93357"	"-1.08851"	""
"hsa-let-7i"	"1.30e-04"	"9.89e-05"	"-4.5918"	"0.76378"	"-0.77777"	"NA"
"hsa-miR-220b"	"1.31e-04"	"1.00e-04"	"-4.5864"	"0.74967"	"-0.74303"	""
"hsa-miR-335"	"1.65e-04"	"1.26e-04"	"-4.4996"	"0.52374"	"-0.76493"	""
"hsa-miR-136"	"1.79e-04"	"1.38e-04"	"-4.4665"	"0.43785"	"-1.48927"	"NA"
"hsa-miR-338"	"1.86e-04"	"1.43e-04"	"-4.4522"	"0.4005"	"-0.89363"	""
"hsa-miR-136"	"1.89e-04"	"1.45e-04"	"-4.4463"	"0.38539"	"-0.85536"	"NA"
"hsa-miR-99a"	"2.05e-04"	"1.58e-04"	"-4.4146"	"0.30309"	"-0.88296"	""
"hsa-miR-377"	"2.21e-04"	"1.71e-04"	"-4.3852"	"0.22684"	"-1.00865"	""
"hsa-miR-376c"	"2.47e-04"	"1.91e-04"	"-4.3424"	"0.11591"	"-1.00097"	""
"hsa-miR-181b"	"2.54e-04"	"1.97e-04"	"-4.3305"	"0.08523"	"-0.89869"	""
"hsa-miR-18a"	"2.67e-04"	"2.07e-04"	"-4.3113"	"0.03558"	"-0.891"	""
"hsa-miR-660"	"2.75e-04"	"2.14e-04"	"-4.2985"	"0.00241"	"-0.91951"	""
"hsa-miR-513b"	"2.97e-04"	"2.32e-04"	"-4.269"	"-0.07381"	"-0.64146"	""
"hsa-miR-96"	"3.11e-04"	"2.43e-04"	"-4.2512"	"-0.11977"	"-0.95292"	""
"hsa-let-7d"	"3.16e-04"	"2.47e-04"	"-4.2448"	"-0.13607"	"-0.84772"	"NA"
"hsa-miR-20b"	"3.18e-04"	"2.49e-04"	"-4.2417"	"-0.14416"	"-0.84075"	""
"hsa-miR-552"	"3.29e-04"	"2.58e-04"	"-4.2281"	"-0.17932"	"-0.67483"	""
"hsa-miR-519e"	"3.38e-04"	"2.66e-04"	"-4.2165"	"-0.20911"	"-0.68477"	""
"hsa-miR-513c"	"3.88e-04"	"3.06e-04"	"-4.1632"	"-0.34627"	"-0.62595"	""
"hsa-miR-484"	"4.06e-04"	"3.20e-04"	"-4.1456"	"-0.39152"	"-0.8556"	""
"hsa-miR-18b"	"4.76e-04"	"3.76e-04"	"-4.0843"	"-0.54844"	"-0.80063"	""
"hsa-miR-590"	"4.99e-04"	"3.95e-04"	"-4.0653"	"-0.59716"	"-0.5941"	""
"hsa-let-7f-1"	"5.37e-04"	"4.26e-04"	"-4.0362"	"-0.67153"	"-0.79388"	"NA"
"hsa-miR-127"	"5.63e-04"	"4.47e-04"	"-4.0176"	"-0.71901"	"-0.87395"	"NA"
"hsa-miR-132"	"5.75e-04"	"4.57e-04"	"-4.0089"	"-0.74123"	"-0.99555"	"NA"
"hsa-miR-450a"	"6.44e-04"	"5.13e-04"	"-3.9649"	"-0.85319"	"-0.78552"	""
"hsa-miR-27b"	"6.57e-04"	"5.24e-04"	"-3.9564"	"-0.87471"	"-0.61034"	""
"hsa-miR-148b"	"6.61e-04"	"5.29e-04"	"-3.9533"	"-0.8825"	"-0.79716"	""
"hsa-miR-34a"	"6.62e-04"	"5.30e-04"	"-3.9522"	"-0.88534"	"-0.78051"	""
"hsa-miR-139"	"7.23e-04"	"5.80e-04"	"-3.9176"	"-0.97332"	"-0.89655"	"NA"
"hsa-miR-498"	"7.82e-04"	"6.28e-04"	"-3.8871"	"-1.05048"	"-0.62839"	""
"hsa-miR-199a;hsa-miR-199b"	"8.38e-04"	"6.74e-04"	"3.8595"	"-1.1201"	"0.85162"	""
"hsa-miR-29c"	"8.82e-04"	"7.11e-04"	"-3.839"	"-1.17203"	"-0.78285"	""
"hsa-miR-548a"	"9.16e-04"	"7.40e-04"	"-3.8238"	"-1.21017"	"-0.51614"	""
"hsa-miR-582"	"1.19e-03"	"9.66e-04"	"-3.7207"	"-1.46896"	"-0.68689"	""
"hsa-miR-454"	"1.32e-03"	"1.07e-03"	"-3.6809"	"-1.56815"	"-0.76758"	""
"hsa-miR-103;hsa-miR-107"	"1.35e-03"	"1.09e-03"	"-3.6725"	"-1.58911"	"-0.60441"	"NA"
"hsa-miR-768"	"1.61e-03"	"1.31e-03"	"-3.6016"	"-1.7651"	"-0.5865"	""
"hsa-miR-99b"	"1.74e-03"	"1.42e-03"	"-3.5704"	"-1.84228"	"-0.58033"	""
"hsa-miR-151"	"1.77e-03"	"1.44e-03"	"-3.5643"	"-1.85716"	"-0.67802"	""
"hsa-miR-130a"	"2.03e-03"	"1.66e-03"	"-3.5088"	"-1.99355"	"-0.76352"	"NA"
"hsa-miR-151"	"2.09e-03"	"1.71e-03"	"-3.4978"	"-2.0205"	"-0.72578"	""
"hsa-miR-342"	"2.26e-03"	"1.86e-03"	"-3.4651"	"-2.1006"	"-0.82135"	""
"hsa-miR-214"	"2.54e-03"	"2.09e-03"	"-3.4185"	"-2.21409"	"-0.80203"	""
"hsa-miR-128"	"2.55e-03"	"2.10e-03"	"-3.4158"	"-2.22066"	"-0.71848"	"NA"
"hsa-miR-191"	"2.72e-03"	"2.24e-03"	"-3.3897"	"-2.28381"	"-0.70536"	""
"hsa-miR-146a"	"3.65e-03"	"3.01e-03"	"-3.2727"	"-2.56531"	"-0.60864"	"NA"
"hsa-miR-140"	"3.82e-03"	"3.16e-03"	"-3.2533"	"-2.61137"	"-0.67135"	"NA"
"hsa-miR-210"	"4.21e-03"	"3.48e-03"	"-3.214"	"-2.70474"	"-0.77399"	""
"hsa-miR-204"	"4.25e-03"	"3.53e-03"	"-3.209"	"-2.7166"	"-0.60884"	""
"hsa-miR-93"	"4.43e-03"	"3.68e-03"	"-3.1919"	"-2.75716"	"-0.59094"	""
"hsa-miR-22"	"4.76e-03"	"3.96e-03"	"-3.1621"	"-2.82744"	"-0.57701"	""
"S_Control0020"	"6.91e-03"	"5.76e-03"	"3.0091"	"-3.18334"	"0.37274"	"CONTROL"
"hsa-miR-192;hsa-miR-215"	"7.28e-03"	"6.07e-03"	"-2.9873"	"-3.23353"	"-0.61545"	""
"hsa-miR-145"	"9.21e-03"	"7.70e-03"	"-2.8889"	"-3.45712"	"-0.67158"	"NA"
"hsa-miR-923"	"9.84e-03"	"8.24e-03"	"-2.8605"	"-3.52085"	"-0.74818"	""
"hsa-miR-30a"	"1.02e-02"	"8.57e-03"	"-2.844"	"-3.55786"	"-0.60914"	""
"hsa-miR-491"	"1.11e-02"	"9.35e-03"	"-2.8075"	"-3.63918"	"-0.40204"	""
"S_Control0017"	"1.17e-02"	"9.89e-03"	"-2.7837"	"-3.69191"	"-0.29021"	"CONTROL"
"hsa-miR-15b"	"1.27e-02"	"1.07e-02"	"-2.7514"	"-3.76324"	"-0.55186"	""
"hsa-miR-92b"	"1.41e-02"	"1.19e-02"	"-2.7061"	"-3.86231"	"-0.58395"	""
"hsa-miR-212"	"1.42e-02"	"1.20e-02"	"2.7004"	"-3.87459"	"0.36636"	""
"hsa-miR-455"	"1.45e-02"	"1.23e-02"	"-2.6918"	"-3.89338"	"-0.55127"	""
"hsa-miR-99a"	"1.46e-02"	"1.23e-02"	"-2.689"	"-3.89941"	"-0.50155"	""
"S_Control0024"	"1.57e-02"	"1.33e-02"	"2.6563"	"-3.97014"	"0.28661"	"CONTROL"
"S_Control0007"	"1.80e-02"	"1.53e-02"	"2.5968"	"-4.09728"	"0.34927"	"CONTROL"
"S_Control0029"	"2.12e-02"	"1.80e-02"	"2.5241"	"-4.2506"	"0.3585"	"CONTROL"
"hsa-miR-30e"	"2.17e-02"	"1.86e-02"	"-2.5117"	"-4.27653"	"-0.5311"	""
"hsa-miR-22"	"2.22e-02"	"1.90e-02"	"-2.5023"	"-4.29612"	"-0.55969"	""
"hsa-miR-21"	"2.62e-02"	"2.24e-02"	"2.4282"	"-4.44876"	"0.56136"	""
"S_Control0006"	"2.79e-02"	"2.39e-02"	"2.3991"	"-4.50805"	"0.26112"	"CONTROL"
"hsa-miR-19b"	"2.80e-02"	"2.41e-02"	"-2.3954"	"-4.51547"	"-0.51479"	""
"hsa-miR-100"	"2.80e-02"	"2.41e-02"	"-2.3952"	"-4.51582"	"-0.4323"	"NA"
"S_Control0034"	"2.92e-02"	"2.52e-02"	"2.3752"	"-4.55613"	"0.26351"	"CONTROL"
"S_Control0025"	"3.42e-02"	"2.95e-02"	"-2.303"	"-4.70017"	"-0.30909"	"CONTROL"
"hsa-miR-193a"	"3.53e-02"	"3.06e-02"	"-2.2875"	"-4.73056"	"-0.4211"	""
"hsa-miR-219-1"	"3.84e-02"	"3.32e-02"	"-2.2491"	"-4.80563"	"-0.35589"	""
"S_Control0019"	"4.02e-02"	"3.49e-02"	"-2.226"	"-4.85032"	"-0.37745"	"CONTROL"
"S_Control0004"	"4.06e-02"	"3.53e-02"	"2.2209"	"-4.86011"	"0.24919"	"CONTROL"
"hsa-miR-122"	"4.26e-02"	"3.71e-02"	"-2.1981"	"-4.90388"	"-0.36891"	"NA"
"hsa-miR-92a"	"4.33e-02"	"3.77e-02"	"-2.1894"	"-4.92048"	"-0.42281"	""
"hsa-miR-155"	"4.85e-02"	"4.23e-02"	"-2.1355"	"-5.02244"	"-0.46798"	""
"hsa-miR-200c"	"4.93e-02"	"4.30e-02"	"-2.1274"	"-5.03763"	"-0.52904"	""
"hsa-miR-106a;hsa-miR-17"	"5.02e-02"	"4.39e-02"	"-2.1178"	"-5.05553"	"-0.45004"	"NA"
"hsa-miR-152"	"5.13e-02"	"4.50e-02"	"-2.1063"	"-5.07688"	"-0.44309"	""
"hsa-miR-200a"	"5.30e-02"	"4.66e-02"	"2.0899"	"-5.10724"	"0.68343"	""
"S_Control0009"	"6.07e-02"	"5.34e-02"	"-2.0237"	"-5.22797"	"-0.20445"	"CONTROL"
"hsa-miR-30e"	"6.27e-02"	"5.52e-02"	"-2.0075"	"-5.25718"	"-0.41666"	""
"hsa-miR-141"	"6.50e-02"	"5.73e-02"	"-1.9891"	"-5.29"	"-0.48936"	"NA"
"hsa-miR-143"	"6.56e-02"	"5.79e-02"	"1.984"	"-5.29905"	"0.53425"	"NA"
"hsa-miR-150"	"6.76e-02"	"5.98e-02"	"1.9685"	"-5.32668"	"0.43136"	""
"hsa-miR-142"	"7.40e-02"	"6.56e-02"	"1.9226"	"-5.40695"	"0.42114"	"NA"
"hsa-miR-20a"	"7.86e-02"	"6.98e-02"	"-1.8914"	"-5.46092"	"-0.42658"	""
"hsa-miR-425"	"7.87e-02"	"7.00e-02"	"-1.89"	"-5.4633"	"-0.38052"	""
"hsa-miR-142"	"8.06e-02"	"7.18e-02"	"1.8773"	"-5.485"	"0.45916"	"NA"
"hsa-miR-491"	"8.31e-02"	"7.41e-02"	"-1.8608"	"-5.51302"	"-0.27634"	""
"hsa-miR-24"	"8.51e-02"	"7.60e-02"	"-1.8481"	"-5.53452"	"-0.31808"	""
"hsa-miR-222"	"8.92e-02"	"7.97e-02"	"-1.8236"	"-5.57562"	"-0.38827"	""
"hsa-miR-10a"	"9.23e-02"	"8.27e-02"	"1.8051"	"-5.60633"	"0.49522"	"NA"
"hsa-miR-19a"	"9.47e-02"	"8.50e-02"	"-1.7909"	"-5.62973"	"-0.37819"	""
"hsa-miR-101"	"9.68e-02"	"8.70e-02"	"-1.7789"	"-5.6494"	"-0.42264"	"NA"
"hsa-miR-924"	"1.02e-01"	"9.15e-02"	"-1.7526"	"-5.69233"	"-0.25933"	""
"hsa-miR-186"	"1.02e-01"	"9.17e-02"	"-1.7514"	"-5.69426"	"-0.37472"	""
"hsa-miR-218"	"1.12e-01"	"1.01e-01"	"-1.6994"	"-5.77721"	"-0.41267"	""
"hsa-miR-26b"	"1.22e-01"	"1.11e-01"	"-1.6517"	"-5.85165"	"-0.32784"	""
"S_Control0014"	"1.33e-01"	"1.21e-01"	"1.6045"	"-5.92366"	"0.2156"	"CONTROL"
"hsa-miR-34b"	"1.34e-01"	"1.21e-01"	"-1.6017"	"-5.92786"	"-0.36099"	""
"S_Control0028"	"1.37e-01"	"1.24e-01"	"-1.589"	"-5.94701"	"-0.15539"	"CONTROL"
"hsa-miR-505"	"1.40e-01"	"1.27e-01"	"1.5768"	"-5.96515"	"0.23696"	""
"hsa-miR-98"	"1.43e-01"	"1.30e-01"	"-1.5635"	"-5.98481"	"-0.36386"	""
"hsa-miR-886"	"1.53e-01"	"1.39e-01"	"1.5261"	"-6.0395"	"0.32026"	""
"hsa-miR-221"	"1.63e-01"	"1.49e-01"	"-1.4871"	"-6.09522"	"-0.3074"	""
"hsa-miR-375"	"1.68e-01"	"1.53e-01"	"-1.4707"	"-6.11833"	"-0.30943"	""
"S_Control0027"	"1.71e-01"	"1.57e-01"	"-1.4591"	"-6.13452"	"-0.14458"	"CONTROL"
"hsa-miR-200b"	"1.78e-01"	"1.64e-01"	"1.4339"	"-6.16938"	"0.44463"	""
"S_Control0026"	"1.81e-01"	"1.66e-01"	"1.4251"	"-6.18132"	"0.15589"	"CONTROL"
"hsa-miR-15a"	"1.83e-01"	"1.69e-01"	"-1.4161"	"-6.19358"	"-0.29789"	""
"hsa-miR-145"	"1.86e-01"	"1.72e-01"	"1.4048"	"-6.20889"	"0.32567"	"NA"
"hsa-miR-361"	"1.86e-01"	"1.72e-01"	"-1.4046"	"-6.20917"	"-0.26902"	""
"hsa-miR-223"	"1.96e-01"	"1.82e-01"	"-1.3728"	"-6.25165"	"-0.34024"	""
"S_Control0005"	"2.02e-01"	"1.87e-01"	"-1.3541"	"-6.27619"	"-0.13705"	"CONTROL"
"S_Control0002"	"2.11e-01"	"1.95e-01"	"1.3295"	"-6.30805"	"0.14095"	"CONTROL"
"S_Control0035"	"2.40e-01"	"2.23e-01"	"1.2492"	"-6.4085"	"0.12176"	"CONTROL"
"hsa-miR-126"	"2.62e-01"	"2.43e-01"	"-1.1942"	"-6.47404"	"-0.25871"	"NA"
"hsa-let-7e"	"2.75e-01"	"2.56e-01"	"-1.1606"	"-6.51283"	"-0.26154"	"NA"
"hsa-miR-32"	"2.80e-01"	"2.61e-01"	"-1.1483"	"-6.52677"	"-0.26836"	""
"hsa-miR-16"	"2.81e-01"	"2.62e-01"	"-1.1454"	"-6.53003"	"-0.20573"	""
"hsa-miR-30d"	"2.86e-01"	"2.68e-01"	"-1.133"	"-6.54398"	"-0.21716"	""
"S_Control0012"	"3.16e-01"	"2.96e-01"	"1.0674"	"-6.61514"	"0.14418"	"CONTROL"
"S_Control0032"	"3.24e-01"	"3.04e-01"	"1.0495"	"-6.63393"	"0.11578"	"CONTROL"
"hsa-miR-23a;hsa-miR-23b"	"3.34e-01"	"3.14e-01"	"-1.0273"	"-6.65676"	"-0.19708"	""
"S_Control0001"	"3.45e-01"	"3.25e-01"	"1.0037"	"-6.68055"	"0.10422"	"CONTROL"
"S_Control0030"	"3.55e-01"	"3.35e-01"	"-0.983"	"-6.70099"	"-0.09934"	"CONTROL"
"hsa-miR-25"	"3.56e-01"	"3.35e-01"	"-0.9814"	"-6.7026"	"-0.20029"	""
"hsa-miR-29b"	"3.60e-01"	"3.40e-01"	"0.9711"	"-6.71257"	"0.22213"	""
"hsa-miR-34a"	"3.69e-01"	"3.49e-01"	"-0.9534"	"-6.72957"	"-0.18566"	""
"hsa-miR-125b"	"3.88e-01"	"3.68e-01"	"-0.9165"	"-6.76401"	"-0.15806"	"NA"
