"ID"	"adj.P.Val"	"P.Value"	"SPOT_ID"
"hsa-miR-654-3p"	"7.62e-07"	"4.24e-07"	""
"hsa-miR-135b*"	"7.72e-07"	"4.31e-07"	"NA"
"hsa-miR-147b"	"7.75e-07"	"4.34e-07"	""
"hsa-miR-559"	"8.08e-07"	"4.53e-07"	""
"hsa-miR-17*"	"8.30e-07"	"4.67e-07"	""
"hsa-miR-384"	"8.43e-07"	"4.75e-07"	""
"hsa-miR-501-5p"	"9.92e-07"	"5.60e-07"	""
"hsa-miR-944"	"1.00e-06"	"5.69e-07"	""
"hsa-miR-99b*"	"1.01e-06"	"5.75e-07"	""
"hsa-miR-581"	"1.05e-06"	"5.95e-07"	""
"hsa-miR-379*"	"1.05e-06"	"6.00e-07"	""
"hsa-miR-24-1*"	"1.08e-06"	"6.19e-07"	""
"hsa-miR-485-3p"	"1.09e-06"	"6.23e-07"	""
"hsa-miR-514"	"1.09e-06"	"6.24e-07"	""
"hsa-miR-127-5p"	"1.12e-06"	"6.45e-07"	"NA"
"hsa-miR-542-3p"	"1.13e-06"	"6.53e-07"	""
"hsa-miR-339-5p"	"1.14e-06"	"6.57e-07"	""
"hsa-miR-431"	"1.14e-06"	"6.61e-07"	""
"hsa-miR-26a-2*"	"1.14e-06"	"6.63e-07"	""
"hsa-miR-147"	"1.16e-06"	"6.75e-07"	""
"hsa-miR-486-5p"	"1.26e-06"	"7.35e-07"	""
"hsa-miR-193b"	"1.26e-06"	"7.41e-07"	""
"hsa-miR-26b*"	"1.26e-06"	"7.41e-07"	""
"hsa-miR-888"	"1.29e-06"	"7.59e-07"	""
"hsa-miR-425*"	"1.31e-06"	"7.74e-07"	""
"hsa-miR-889"	"1.37e-06"	"8.10e-07"	""
"hsa-miR-937"	"1.37e-06"	"8.12e-07"	""
"hsa-miR-362-5p"	"1.46e-06"	"8.65e-07"	""
"hsa-miR-1228"	"1.46e-06"	"8.66e-07"	"NA"
"hsa-miR-370"	"1.50e-06"	"8.95e-07"	""
"hsa-miR-544"	"1.51e-06"	"9.00e-07"	""
"hsa-miR-627"	"1.55e-06"	"9.27e-07"	""
"hsa-miR-642"	"1.60e-06"	"9.60e-07"	""
"hsa-miR-934"	"1.71e-06"	"1.03e-06"	""
"hsa-miR-29a*"	"1.72e-06"	"1.04e-06"	""
"hsa-let-7e*"	"1.80e-06"	"1.09e-06"	"NA"
"hsa-miR-509-3-5p"	"1.87e-06"	"1.13e-06"	""
"hsa-miR-135a"	"1.89e-06"	"1.15e-06"	"NA"
"hsa-miR-563"	"1.89e-06"	"1.15e-06"	""
"S_Control0010"	"1.91e-06"	"1.16e-06"	"CONTROL"
"hsa-miR-374a*"	"1.91e-06"	"1.17e-06"	""
"hsa-miR-301a"	"1.91e-06"	"1.17e-06"	""
"hsa-miR-378"	"1.97e-06"	"1.21e-06"	""
"hsa-miR-376a*"	"2.04e-06"	"1.25e-06"	""
"hsa-miR-339-3p"	"2.09e-06"	"1.29e-06"	""
"hsa-miR-1"	"2.09e-06"	"1.29e-06"	"NA"
"hsa-miR-499-5p"	"2.17e-06"	"1.35e-06"	""
"hsa-miR-302b"	"2.32e-06"	"1.44e-06"	""
"hsa-miR-203"	"2.32e-06"	"1.44e-06"	""
"hsa-miR-576-5p"	"2.38e-06"	"1.49e-06"	""
"hsa-miR-578"	"2.39e-06"	"1.49e-06"	""
"hsa-miR-376a;hsa-miR-376b"	"2.65e-06"	"1.66e-06"	""
"hsa-miR-328"	"2.65e-06"	"1.67e-06"	""
"hsa-miR-299-5p"	"2.65e-06"	"1.67e-06"	""
"hsa-miR-568"	"2.67e-06"	"1.69e-06"	""
"hsa-miR-34b"	"2.67e-06"	"1.69e-06"	""
"hsa-let-7f-2*"	"2.68e-06"	"1.69e-06"	"NA"
"hsa-miR-769-5p"	"2.74e-06"	"1.74e-06"	""
"hsa-miR-32*"	"2.78e-06"	"1.77e-06"	""
"hsa-miR-380"	"2.78e-06"	"1.77e-06"	""
"hsa-miR-302a"	"2.83e-06"	"1.80e-06"	""
"hsa-miR-9"	"2.83e-06"	"1.81e-06"	""
"hsa-miR-409-3p"	"2.89e-06"	"1.85e-06"	""
"hsa-miR-15b*"	"3.09e-06"	"1.99e-06"	""
"hsa-miR-516a-5p"	"3.60e-06"	"2.32e-06"	""
"hsa-miR-548c-3p"	"4.03e-06"	"2.60e-06"	""
"hsa-miR-205"	"4.12e-06"	"2.66e-06"	""
"hsa-miR-138-2*"	"4.13e-06"	"2.68e-06"	"NA"
"hsa-miR-362-3p"	"4.17e-06"	"2.71e-06"	""
"hsa-miR-875-5p"	"4.19e-06"	"2.73e-06"	""
"hsa-miR-876-3p"	"4.22e-06"	"2.75e-06"	""
"hsa-miR-137"	"4.28e-06"	"2.80e-06"	"NA"
"hsa-miR-450b-5p"	"4.68e-06"	"3.06e-06"	""
"hsa-miR-181c*"	"5.07e-06"	"3.32e-06"	""
"hsa-miR-942"	"5.18e-06"	"3.40e-06"	""
"hsa-miR-135b"	"5.27e-06"	"3.47e-06"	"NA"
"hsa-miR-381"	"5.43e-06"	"3.58e-06"	""
"hsa-miR-411*"	"5.43e-06"	"3.59e-06"	""
"hsa-miR-369-3p"	"5.56e-06"	"3.69e-06"	""
"hsa-miR-129-5p"	"5.80e-06"	"3.85e-06"	"NA"
"hsa-miR-655"	"6.29e-06"	"4.19e-06"	""
"hsa-miR-338-5p"	"6.29e-06"	"4.19e-06"	""
"hsa-miR-153"	"6.77e-06"	"4.52e-06"	""
"hsa-miR-579"	"7.14e-06"	"4.78e-06"	""
"hsa-miR-597"	"7.14e-06"	"4.79e-06"	""
"hsa-miR-556-3p"	"7.17e-06"	"4.82e-06"	""
"hsa-miR-601"	"7.36e-06"	"4.96e-06"	""
"hsa-miR-1237"	"7.59e-06"	"5.12e-06"	"NA"
"hsa-miR-877*"	"7.63e-06"	"5.16e-06"	""
"hsa-miR-624*"	"7.75e-06"	"5.25e-06"	""
"hsa-miR-493*"	"8.16e-06"	"5.54e-06"	""
"hsa-miR-609"	"8.18e-06"	"5.57e-06"	""
"hsa-miR-219-5p"	"8.36e-06"	"5.70e-06"	""
"hsa-miR-554"	"8.41e-06"	"5.74e-06"	""
"hsa-miR-651"	"8.75e-06"	"5.99e-06"	""
"hsa-miR-1229"	"8.82e-06"	"6.05e-06"	"NA"
"hsa-miR-532-5p"	"9.08e-06"	"6.25e-06"	""
"hsa-miR-577"	"9.08e-06"	"6.25e-06"	""
"hsa-miR-33a*"	"9.21e-06"	"6.35e-06"	""
"hsa-miR-21*"	"1.02e-05"	"7.07e-06"	""
"hsa-miR-144*"	"1.02e-05"	"7.08e-06"	"NA"
"hsa-miR-592"	"1.12e-05"	"7.80e-06"	""
"hsa-miR-452"	"1.14e-05"	"7.92e-06"	""
"hsa-miR-365"	"1.15e-05"	"8.04e-06"	""
"hsa-miR-511"	"1.22e-05"	"8.54e-06"	""
"hsa-miR-216a"	"1.27e-05"	"8.91e-06"	""
"hsa-miR-765"	"1.30e-05"	"9.13e-06"	""
"hsa-miR-190"	"1.32e-05"	"9.26e-06"	""
"hsa-miR-411"	"1.33e-05"	"9.34e-06"	""
"hsa-miR-361-3p"	"1.41e-05"	"9.96e-06"	""
"hsa-miR-181c"	"1.51e-05"	"1.07e-05"	""
"hsa-miR-424"	"1.55e-05"	"1.09e-05"	""
"hsa-miR-652"	"1.60e-05"	"1.13e-05"	""
"hsa-miR-197"	"1.64e-05"	"1.17e-05"	""
"hsa-miR-587"	"1.67e-05"	"1.19e-05"	""
"hsa-miR-302c*"	"1.72e-05"	"1.23e-05"	""
"hsa-miR-324-5p"	"1.83e-05"	"1.31e-05"	""
"hsa-miR-10a*"	"1.93e-05"	"1.38e-05"	"NA"
"hsa-miR-33b"	"1.99e-05"	"1.43e-05"	""
"hsa-miR-483-3p"	"2.04e-05"	"1.47e-05"	""
"hsa-miR-30d*"	"2.14e-05"	"1.54e-05"	""
"hsa-miR-521"	"2.39e-05"	"1.72e-05"	""
"hsa-miR-487a"	"2.46e-05"	"1.78e-05"	""
"hsa-miR-340"	"2.48e-05"	"1.79e-05"	""
"hsa-miR-423-3p"	"2.48e-05"	"1.80e-05"	""
"hsa-miR-101*"	"2.50e-05"	"1.82e-05"	"NA"
"hsa-miR-182"	"2.61e-05"	"1.90e-05"	""
"hsa-let-7b*"	"2.69e-05"	"1.96e-05"	"NA"
"hsa-miR-28-3p"	"2.81e-05"	"2.05e-05"	""
"hsa-miR-100*"	"2.83e-05"	"2.07e-05"	"NA"
"hsa-miR-130b"	"3.20e-05"	"2.34e-05"	"NA"
"hsa-miR-302d"	"3.34e-05"	"2.45e-05"	""
"hsa-miR-33a"	"3.52e-05"	"2.59e-05"	""
"hsa-miR-335*"	"3.75e-05"	"2.77e-05"	""
"hsa-miR-363"	"3.75e-05"	"2.77e-05"	""
"hsa-let-7a*"	"4.31e-05"	"3.19e-05"	"NA"
"hsa-miR-653"	"5.01e-05"	"3.72e-05"	""
"hsa-miR-202*"	"5.34e-05"	"3.97e-05"	""
"hsa-miR-181d"	"5.45e-05"	"4.06e-05"	""
"hsa-miR-598"	"5.46e-05"	"4.07e-05"	""
"hsa-miR-28-5p"	"5.76e-05"	"4.30e-05"	""
"hsa-miR-615-3p"	"5.81e-05"	"4.35e-05"	""
"hsa-miR-133a;hsa-miR-133b"	"6.62e-05"	"4.96e-05"	"NA"
"hsa-miR-154"	"7.44e-05"	"5.59e-05"	""
"hsa-miR-517c;hsa-miR-519a;hsa-miR-519b-3p"	"7.44e-05"	"5.60e-05"	""
"hsa-miR-148a"	"7.44e-05"	"5.60e-05"	""
"hsa-miR-122"	"8.48e-05"	"6.41e-05"	"NA"
"hsa-miR-500"	"8.48e-05"	"6.41e-05"	""
"hsa-miR-885-5p"	"9.06e-05"	"6.86e-05"	""
"hsa-miR-211"	"9.74e-05"	"7.39e-05"	""
"hsa-miR-194"	"1.09e-04"	"8.33e-05"	""
"hsa-miR-497"	"1.09e-04"	"8.33e-05"	""
"hsa-let-7i*"	"1.30e-04"	"9.89e-05"	"NA"
"hsa-miR-220b"	"1.31e-04"	"1.00e-04"	""
"hsa-miR-335"	"1.65e-04"	"1.26e-04"	""
"hsa-miR-136"	"1.79e-04"	"1.38e-04"	"NA"
"hsa-miR-338-3p"	"1.86e-04"	"1.43e-04"	""
"hsa-miR-136*"	"1.89e-04"	"1.45e-04"	"NA"
"hsa-miR-99a*"	"2.05e-04"	"1.58e-04"	""
"hsa-miR-377"	"2.21e-04"	"1.71e-04"	""
"hsa-miR-376c"	"2.47e-04"	"1.91e-04"	""
"hsa-miR-181b"	"2.54e-04"	"1.97e-04"	""
"hsa-miR-18a"	"2.67e-04"	"2.07e-04"	""
"hsa-miR-660"	"2.75e-04"	"2.14e-04"	""
"hsa-miR-513b"	"2.97e-04"	"2.32e-04"	""
"hsa-miR-96"	"3.11e-04"	"2.43e-04"	""
"hsa-let-7d"	"3.16e-04"	"2.47e-04"	"NA"
"hsa-miR-20b"	"3.18e-04"	"2.49e-04"	""
"hsa-miR-552"	"3.29e-04"	"2.58e-04"	""
"hsa-miR-519e*"	"3.38e-04"	"2.66e-04"	""
"hsa-miR-513c"	"3.88e-04"	"3.06e-04"	""
"hsa-miR-484"	"4.06e-04"	"3.20e-04"	""
"hsa-miR-18b"	"4.76e-04"	"3.76e-04"	""
"hsa-miR-590-3p"	"4.99e-04"	"3.95e-04"	""
"hsa-let-7f-1*"	"5.37e-04"	"4.26e-04"	"NA"
"hsa-miR-127-3p"	"5.63e-04"	"4.47e-04"	"NA"
"hsa-miR-132"	"5.75e-04"	"4.57e-04"	"NA"
"hsa-miR-450a"	"6.44e-04"	"5.13e-04"	""
"hsa-miR-27b*"	"6.57e-04"	"5.24e-04"	""
"hsa-miR-148b"	"6.61e-04"	"5.29e-04"	""
"hsa-miR-34a*"	"6.62e-04"	"5.30e-04"	""
"hsa-miR-139-5p"	"7.23e-04"	"5.80e-04"	"NA"
"hsa-miR-498"	"7.82e-04"	"6.28e-04"	""
"hsa-miR-199a-3p;hsa-miR-199b-3p"	"8.38e-04"	"6.74e-04"	""
"hsa-miR-29c*"	"8.82e-04"	"7.11e-04"	""
"hsa-miR-548a-3p"	"9.16e-04"	"7.40e-04"	""
"hsa-miR-582-5p"	"1.19e-03"	"9.66e-04"	""
"hsa-miR-454"	"1.32e-03"	"1.07e-03"	""
"hsa-miR-103;hsa-miR-107"	"1.35e-03"	"1.09e-03"	"NA"
"hsa-miR-768-3p"	"1.61e-03"	"1.31e-03"	""
"hsa-miR-99b"	"1.74e-03"	"1.42e-03"	""
"hsa-miR-151-3p"	"1.77e-03"	"1.44e-03"	""
"hsa-miR-130a*"	"2.03e-03"	"1.66e-03"	"NA"
"hsa-miR-151-5p"	"2.09e-03"	"1.71e-03"	""
"hsa-miR-342-3p"	"2.26e-03"	"1.86e-03"	""
"hsa-miR-214*"	"2.54e-03"	"2.09e-03"	""
"hsa-miR-128"	"2.55e-03"	"2.10e-03"	"NA"
"hsa-miR-191"	"2.72e-03"	"2.24e-03"	""
"hsa-miR-146a"	"3.65e-03"	"3.01e-03"	"NA"
"hsa-miR-140-5p"	"3.82e-03"	"3.16e-03"	"NA"
"hsa-miR-210"	"4.21e-03"	"3.48e-03"	""
"hsa-miR-204"	"4.25e-03"	"3.53e-03"	""
"hsa-miR-93"	"4.43e-03"	"3.68e-03"	""
"hsa-miR-22"	"4.76e-03"	"3.96e-03"	""
"S_Control0020"	"6.91e-03"	"5.76e-03"	"CONTROL"
"hsa-miR-192;hsa-miR-215"	"7.28e-03"	"6.07e-03"	""
"hsa-miR-145*"	"9.21e-03"	"7.70e-03"	"NA"
"hsa-miR-923"	"9.84e-03"	"8.24e-03"	""
"hsa-miR-30a*"	"1.02e-02"	"8.57e-03"	""
"hsa-miR-491-5p"	"1.11e-02"	"9.35e-03"	""
"S_Control0017"	"1.17e-02"	"9.89e-03"	"CONTROL"
"hsa-miR-15b"	"1.27e-02"	"1.07e-02"	""
"hsa-miR-92b"	"1.41e-02"	"1.19e-02"	""
"hsa-miR-212"	"1.42e-02"	"1.20e-02"	""
"hsa-miR-455-5p"	"1.45e-02"	"1.23e-02"	""
"hsa-miR-99a"	"1.46e-02"	"1.23e-02"	""
"S_Control0024"	"1.57e-02"	"1.33e-02"	"CONTROL"
"S_Control0007"	"1.80e-02"	"1.53e-02"	"CONTROL"
"S_Control0029"	"2.12e-02"	"1.80e-02"	"CONTROL"
"hsa-miR-30e*"	"2.17e-02"	"1.86e-02"	""
"hsa-miR-22*"	"2.22e-02"	"1.90e-02"	""
"hsa-miR-21"	"2.62e-02"	"2.24e-02"	""
"S_Control0006"	"2.79e-02"	"2.39e-02"	"CONTROL"
"hsa-miR-19b"	"2.80e-02"	"2.41e-02"	""
"hsa-miR-100"	"2.80e-02"	"2.41e-02"	"NA"
"S_Control0034"	"2.92e-02"	"2.52e-02"	"CONTROL"
"S_Control0025"	"3.42e-02"	"2.95e-02"	"CONTROL"
"hsa-miR-193a-3p"	"3.53e-02"	"3.06e-02"	""
"hsa-miR-219-1-3p"	"3.84e-02"	"3.32e-02"	""
"S_Control0019"	"4.02e-02"	"3.49e-02"	"CONTROL"
"S_Control0004"	"4.06e-02"	"3.53e-02"	"CONTROL"
"hsa-miR-122*"	"4.26e-02"	"3.71e-02"	"NA"
"hsa-miR-92a"	"4.33e-02"	"3.77e-02"	""
"hsa-miR-155"	"4.85e-02"	"4.23e-02"	""
"hsa-miR-200c"	"4.93e-02"	"4.30e-02"	""
"hsa-miR-106a;hsa-miR-17"	"5.02e-02"	"4.39e-02"	"NA"
"hsa-miR-152"	"5.13e-02"	"4.50e-02"	""
"hsa-miR-200a"	"5.30e-02"	"4.66e-02"	""
"S_Control0009"	"6.07e-02"	"5.34e-02"	"CONTROL"
"hsa-miR-30e"	"6.27e-02"	"5.52e-02"	""
"hsa-miR-141"	"6.50e-02"	"5.73e-02"	"NA"
"hsa-miR-143"	"6.56e-02"	"5.79e-02"	"NA"
"hsa-miR-150"	"6.76e-02"	"5.98e-02"	""
"hsa-miR-142-5p"	"7.40e-02"	"6.56e-02"	"NA"
"hsa-miR-20a"	"7.86e-02"	"6.98e-02"	""
"hsa-miR-425"	"7.87e-02"	"7.00e-02"	""
"hsa-miR-142-3p"	"8.06e-02"	"7.18e-02"	"NA"
"hsa-miR-491-3p"	"8.31e-02"	"7.41e-02"	""
"hsa-miR-24"	"8.51e-02"	"7.60e-02"	""
"hsa-miR-222"	"8.92e-02"	"7.97e-02"	""
"hsa-miR-10a"	"9.23e-02"	"8.27e-02"	"NA"
"hsa-miR-19a"	"9.47e-02"	"8.50e-02"	""
"hsa-miR-101"	"9.68e-02"	"8.70e-02"	"NA"
"hsa-miR-924"	"1.02e-01"	"9.15e-02"	""
"hsa-miR-186"	"1.02e-01"	"9.17e-02"	""
"hsa-miR-218"	"1.12e-01"	"1.01e-01"	""
"hsa-miR-26b"	"1.22e-01"	"1.11e-01"	""
"S_Control0014"	"1.33e-01"	"1.21e-01"	"CONTROL"
"hsa-miR-34b*"	"1.34e-01"	"1.21e-01"	""
"S_Control0028"	"1.37e-01"	"1.24e-01"	"CONTROL"
"hsa-miR-505*"	"1.40e-01"	"1.27e-01"	""
"hsa-miR-98"	"1.43e-01"	"1.30e-01"	""
"hsa-miR-886-3p"	"1.53e-01"	"1.39e-01"	""
"hsa-miR-221"	"1.63e-01"	"1.49e-01"	""
"hsa-miR-375"	"1.68e-01"	"1.53e-01"	""
"S_Control0027"	"1.71e-01"	"1.57e-01"	"CONTROL"
"hsa-miR-200b"	"1.78e-01"	"1.64e-01"	""
"S_Control0026"	"1.81e-01"	"1.66e-01"	"CONTROL"
"hsa-miR-15a"	"1.83e-01"	"1.69e-01"	""
"hsa-miR-145"	"1.86e-01"	"1.72e-01"	"NA"
"hsa-miR-361-5p"	"1.86e-01"	"1.72e-01"	""
"hsa-miR-223"	"1.96e-01"	"1.82e-01"	""
"S_Control0005"	"2.02e-01"	"1.87e-01"	"CONTROL"
"S_Control0002"	"2.11e-01"	"1.95e-01"	"CONTROL"
"S_Control0035"	"2.40e-01"	"2.23e-01"	"CONTROL"
"hsa-miR-126*"	"2.62e-01"	"2.43e-01"	"NA"
"hsa-let-7e"	"2.75e-01"	"2.56e-01"	"NA"
"hsa-miR-32"	"2.80e-01"	"2.61e-01"	""
"hsa-miR-16"	"2.81e-01"	"2.62e-01"	""
"hsa-miR-30d"	"2.86e-01"	"2.68e-01"	""
"S_Control0012"	"3.16e-01"	"2.96e-01"	"CONTROL"
"S_Control0032"	"3.24e-01"	"3.04e-01"	"CONTROL"
"hsa-miR-23a;hsa-miR-23b"	"3.34e-01"	"3.14e-01"	""
"S_Control0001"	"3.45e-01"	"3.25e-01"	"CONTROL"
"S_Control0030"	"3.55e-01"	"3.35e-01"	"CONTROL"
"hsa-miR-25"	"3.56e-01"	"3.35e-01"	""
"hsa-miR-29b"	"3.60e-01"	"3.40e-01"	""
"hsa-miR-34a"	"3.69e-01"	"3.49e-01"	""
"hsa-miR-125b"	"3.88e-01"	"3.68e-01"	"NA"
"hsa-miR-224"	"3.89e-01"	"3.69e-01"	""
"hsa-miR-374b"	"3.89e-01"	"3.70e-01"	""
"S_Control0003"	"4.67e-01"	"4.45e-01"	"CONTROL"
"hsa-let-7g"	"4.68e-01"	"4.46e-01"	"NA"
"hsa-miR-146b-5p"	"4.80e-01"	"4.58e-01"	""
"hsa-miR-144"	"4.81e-01"	"4.59e-01"	"NA"
"hsa-let-7c"	"4.84e-01"	"4.63e-01"	"NA"
"hsa-miR-30b"	"4.86e-01"	"4.65e-01"	""
"S_Control0021"	"5.02e-01"	"4.81e-01"	"CONTROL"
"S_Control0013"	"5.12e-01"	"4.92e-01"	"CONTROL"
"S_Control0023"	"5.57e-01"	"5.36e-01"	"CONTROL"
"hsa-miR-451"	"5.72e-01"	"5.51e-01"	""
"S_Control0008"	"5.91e-01"	"5.70e-01"	"CONTROL"
"hsa-miR-195"	"6.21e-01"	"6.00e-01"	""
"hsa-miR-106b"	"6.54e-01"	"6.33e-01"	"NA"
"hsa-miR-140-3p"	"6.60e-01"	"6.40e-01"	"NA"
"hsa-let-7b"	"6.65e-01"	"6.45e-01"	"NA"
"hsa-miR-374a"	"6.86e-01"	"6.66e-01"	""
"S_Control0033"	"6.92e-01"	"6.73e-01"	"CONTROL"
"hsa-miR-30c"	"6.95e-01"	"6.77e-01"	""
"hsa-miR-130a"	"7.00e-01"	"6.83e-01"	"NA"
"S_Control0018"	"7.22e-01"	"7.06e-01"	"CONTROL"
"hsa-miR-95"	"7.25e-01"	"7.10e-01"	""
"hsa-miR-199a-5p"	"7.33e-01"	"7.18e-01"	""
"hsa-miR-29c"	"8.05e-01"	"7.90e-01"	""
"hsa-miR-126"	"8.06e-01"	"7.92e-01"	"NA"
"S_Control0015"	"8.08e-01"	"7.95e-01"	"CONTROL"
"hsa-miR-27a;hsa-miR-27b"	"8.11e-01"	"7.99e-01"	""
"hsa-miR-30a"	"8.64e-01"	"8.52e-01"	""
"hsa-miR-125a-5p"	"8.66e-01"	"8.55e-01"	"NA"
"hsa-let-7i"	"8.85e-01"	"8.76e-01"	"NA"
"hsa-let-7f"	"9.09e-01"	"9.01e-01"	"NA"
"hsa-miR-181a"	"9.23e-01"	"9.15e-01"	""
"hsa-let-7a"	"9.44e-01"	"9.38e-01"	"NA"
"hsa-miR-26a"	"9.49e-01"	"9.44e-01"	""
"S_Control0016"	"9.59e-01"	"9.55e-01"	"CONTROL"
"S_Control0031"	"9.70e-01"	"9.68e-01"	"CONTROL"
"hsa-miR-29a"	"9.70e-01"	"9.68e-01"	""
"hsa-miR-429"	"9.90e-01"	"9.90e-01"	""
