Names	total	elements
		hsa-miR-605
		hsa-miR-768-5p
		hsa-miR-147
		hsa-miR-1233
		hsa-miR-873
		hsa-miR-520c-3p
		hsa-miR-518a-5p
		hsa-miR-608
		hsa-miR-18b
		hsa-miR-770-5p
		hsa-miR-509-3p
		hsa-miR-1226
		hsa-miR-138-1
		hsa-miR-517b
		hsa-miR-633
		hsa-miR-144
		hsa-miR-323-5p
		hsa-miR-886-5p
		hsa-miR-384
		hsa-miR-653
		hsa-miR-302a
		hsa-miR-1224-5p
		hsa-miR-888
		hsa-miR-26a-1
		hsa-miR-553
		hsa-miR-802
		hsa-miR-654-3p
		hsa-miR-568
		hsa-miR-592
		hsa-miR-596
		hsa-miR-503
		hsa-miR-29a
		hsa-miR-488
		hsa-miR-105
		hsa-miR-508-3p
		hsa-miR-570
		hsa-let-7g
		hsa-miR-124
		hsa-miR-548d-5p
		hsa-miR-34b
		hsa-miR-325
		hsa-miR-324-5p
		hsa-miR-588
		hsa-miR-671-3p
		hsa-miR-184
		hsa-miR-432
		hsa-miR-769-3p
		hsa-miR-593
		hsa-miR-24-1
		hsa-miR-92a-2
		hsa-miR-125a-3p
		hsa-miR-450b-3p
		hsa-miR-512-3p
		hsa-miR-520d-3p
		hsa-miR-195
		hsa-miR-423-3p
		hsa-miR-331-5p
		hsa-miR-487b
		hsa-miR-450b-5p
		hsa-miR-610
		hsa-miR-519d
		hsa-miR-198
		hsa-miR-545
		hsa-miR-504
		hsa-miR-612
		hsa-miR-935
		hsa-miR-135b
		hsa-miR-514
		hsa-miR-299-3p
		hsa-miR-636
		hsa-miR-323-3p
		hsa-miR-520e
		hsa-miR-607
		hsa-miR-520c-5p
		hsa-miR-578
		hsa-miR-383
		hsa-miR-629
		hsa-miR-934
		hsa-miR-139-3p
		hsa-miR-566
		hsa-miR-548b-3p
		hsa-miR-523
		hsa-miR-942
		hsa-miR-23b
		hsa-miR-16-1
		hsa-miR-362-3p
		hsa-miR-539
		hsa-miR-609
		hsa-miR-33b
		hsa-miR-1229
		hsa-miR-412
		hsa-miR-516b
		hsa-miR-634
		hsa-miR-526b
		hsa-miR-567
		hsa-let-7b
		hsa-miR-620
		hsa-miR-572
		hsa-miR-136
		hsa-miR-330-5p
		hsa-miR-551a
		hsa-miR-301a
		hsa-miR-941
		hsa-miR-223
		hsa-miR-889
		hsa-miR-518c
		hsa-miR-203
		hsa-miR-492
		hsa-miR-571
		hsa-miR-125b-1
		hsa-miR-381
		hsa-miR-361-3p
		hsa-miR-1238
		hsa-miR-628-5p
		hsa-miR-181c
		hsa-miR-526a
		hsa-miR-583
		hsa-miR-760
		hsa-miR-611
		hsa-miR-501-5p
		hsa-miR-199b-5p
		hsa-miR-342-5p
		hsa-miR-493
		hsa-miR-18a
		hsa-miR-205
		hsa-miR-659
		hsa-miR-527
		hsa-miR-185
		hsa-miR-20b
		hsa-miR-556-5p
		hsa-miR-640
		hsa-miR-631
		hsa-miR-1224-3p
		hsa-miR-106a
		hsa-miR-149
		hsa-miR-208b
		hsa-miR-525-3p
		hsa-miR-99b
		hsa-miR-519e
		hsa-miR-483-5p
		hsa-miR-550
		hsa-miR-520h
		hsa-miR-758
		hsa-miR-1225-5p
		hsa-miR-522
		hsa-miR-555
		hsa-miR-431
		hsa-let-7c
		hsa-miR-339-5p
		hsa-miR-197
		hsa-miR-486-5p
		hsa-miR-1228
		hsa-miR-129-3p
		hsa-miR-518f
		hsa-miR-17
		hsa-miR-369-5p
		hsa-miR-7
		hsa-miR-382
		hsa-miR-656
		hsa-miR-454
		hsa-miR-297
		hsa-miR-345
		hsa-miR-675
		hsa-miR-654-5p
		hsa-miR-506
		hsa-miR-302b
		hsa-miR-626
		hsa-miR-7-1
		hsa-miR-655
		hsa-miR-518d-3p
		hsa-miR-891a
		hsa-miR-485-5p
		hsa-miR-614
		hsa-miR-137
		hsa-miR-331-3p
		hsa-miR-892a
		hsa-miR-577
		hsa-miR-206
		hsa-miR-33a
		hsa-miR-196a
		hsa-miR-16-2
		hsa-miR-19a
		hsa-miR-188-5p
		hsa-miR-300
		hsa-miR-15a
		hsa-miR-485-3p
		hsa-miR-632
		hsa-miR-374a
		hsa-miR-219-5p
		hsa-miR-933
		hsa-miR-26a-2
		hsa-miR-556-3p
		hsa-miR-564
		hsa-miR-20a
		hsa-miR-601
		hsa-miR-425
		hsa-miR-627
		hsa-miR-409-3p
		hsa-miR-876-3p
		hsa-miR-423-5p
		hsa-miR-455-3p
		hsa-let-7f-2
		hsa-miR-363
		hsa-miR-196b
		hsa-miR-519b-5p
		hsa-miR-509-5p
		hsa-miR-767-5p
		hsa-miR-501-3p
		hsa-miR-944
		hsa-miR-574-5p
		hsa-miR-340
		hsa-miR-499-5p
		hsa-miR-219-2-3p
		hsa-miR-515-3p
		hsa-miR-371-3p
		hsa-miR-887
		hsa-miR-19b-1
		hsa-miR-369-3p
		hsa-miR-296-3p
		hsa-miR-524-3p
		hsa-miR-519c-5p
		hsa-miR-346
		hsa-miR-639
		hsa-miR-649
		hsa-miR-372
		hsa-miR-326
		hsa-miR-433
		hsa-miR-595
		hsa-miR-154
		hsa-miR-499-3p
		hsa-miR-602
		hsa-miR-662
		hsa-miR-7-2
		hsa-miR-541
		hsa-miR-520d-5p
		hsa-miR-558
		hsa-miR-891b
		hsa-miR-613
		hsa-miR-1225-3p
		hsa-miR-744
		hsa-miR-512-5p
		hsa-miR-671-5p
		hsa-miR-584
GSE74618	22	hsa-miR-378c
		hsa-miR-139
		hsa-miR-375
		hsa-miR-99a
		hsa-miR-532
		hsa-miR-199a-5p
		hsa-miR-1246
		hsa-miR-501
		hsa-miR-30a
		hsa-miR-145
		hsa-miR-130a
		hsa-miR-1269
		hsa-miR-1202
		hsa-miR-498
		hsa-miR-885
		hsa-miR-1307
		hsa-miR-4322
		hsa-miR-502
		hsa-miR-199a-3p
		hsa-miR-122
		hsa-miR-1973
		hsa-miR-1975
GSE59492	10	hsa-miR-4668
		hsa-miR-483
		hsa-miR-3195
		hsa-miR-4274
		hsa-miR-3162
		hsa-miR-194-2
		hsa-miR-199a-1
		hsa-miR-199a-2
		hsa-miR-3613
		hsa-miR-4317
