"ID"	"adj.P.Val"	"P.Value"	"miRNA_ID_LIST"	"SPOT_ID"
"fru-miR-200a_st"	"0.000907"	"1.14e-07"	"fru-mir-200a"	""
"tgu-miR-146b_st"	"0.000907"	"1.33e-07"	"tgu-mir-146b"	""
"mml-miR-200a_st"	"0.000907"	"1.36e-07"	"mml-mir-200a"	""
"dre-miR-141_st"	"0.000907"	"1.45e-07"	"dre-mir-141"	""
"gga-miR-146b_st"	"0.000973"	"1.95e-07"	"gga-mir-146b"	""
"mdo-miR-200a_st"	"0.001184"	"2.84e-07"	"mdo-mir-200a"	""
"hsa-miR-200b_st"	"0.001788"	"5.11e-07"	"hsa-mir-200b"	""
"pma-miR-146_st"	"0.001788"	"5.72e-07"	"pma-mir-146"	""
"ptr-miR-200a_st"	"0.001848"	"6.65e-07"	"ptr-mir-200a"	""
"ppy-miR-224_st"	"0.00279"	"1.12e-06"	"ppy-mir-224"	""
"csa-miR-200_st"	"0.003123"	"1.37e-06"	"csa-mir-200"	""
"mdo-miR-146b_st"	"0.004349"	"2.14e-06"	"mdo-mir-146b"	""
"dre-miR-200c_st"	"0.004349"	"2.28e-06"	"dre-mir-200c"	""
"ppy-miR-146b-5p_st"	"0.004349"	"2.43e-06"	"ppy-mir-146b"	""
"eca-miR-146b-5p_st"	"0.004356"	"2.61e-06"	"eca-mir-146b"	""
"xtr-miR-200a_st"	"0.004559"	"3.14e-06"	"xtr-mir-200a"	""
"tni-miR-200a_st"	"0.004559"	"3.22e-06"	"tni-mir-200a"	""
"eca-miR-200a_st"	"0.004559"	"3.29e-06"	"eca-mir-200a"	""
"mmu-miR-200a_st"	"0.004559"	"3.46e-06"	"mmu-mir-200a"	""
"gga-miR-200a_st"	"0.005346"	"4.27e-06"	"gga-mir-200a"	""
"mmu-miR-146b_st"	"0.006739"	"5.90e-06"	"mmu-mir-146b"	""
"ptr-miR-146b_st"	"0.006739"	"5.93e-06"	"ptr-mir-146b"	""
"tgu-miR-200a_st"	"0.007136"	"6.56e-06"	"tgu-mir-200a"	""
"hsa-miR-146b-5p_st"	"0.007403"	"7.13e-06"	"hsa-mir-146b"	""
"ppy-miR-200a_st"	"0.007403"	"7.56e-06"	"ppy-mir-200a"	""
"hsa-miR-200a_st"	"0.007403"	"7.69e-06"	"hsa-mir-200a"	""
"hsa-miR-224-star_st"	"0.008101"	"8.85e-06"	"hsa-mir-224"	""
"mmu-miR-505-5p_st"	"0.008101"	"9.07e-06"	"mmu-mir-505"	""
"tcc-miR394b_st"	"0.008553"	"9.92e-06"	"tcc-MIR394b"	""
"oan-miR-200a_st"	"0.012161"	"1.55e-05"	"oan-mir-200a"	""
"oan-miR-146b_st"	"0.012161"	"1.55e-05"	"oan-mir-146b"	""
"ppa-miR-223_st"	"0.012161"	"1.60e-05"	"ppa-mir-223"	""
"mml-miR-146b-5p_st"	"0.012161"	"1.63e-05"	"mml-mir-146b"	""
"fru-miR-200b_st"	"0.012161"	"1.65e-05"	"fru-mir-200b"	""
"mne-miR-224_st"	"0.012612"	"1.82e-05"	"mne-mir-224"	""
"bta-miR-200a_st"	"0.012612"	"1.85e-05"	"bta-mir-200a"	""
"gga-miR-200b_st"	"0.012612"	"1.87e-05"	"gga-mir-200b"	""
"ssc-miR-146b_st"	"0.0142"	"2.18e-05"	"ssc-mir-146b"	""
"cfa-miR-224_st"	"0.0142"	"2.21e-05"	"cfa-mir-224"	""
"cfa-miR-146b_st"	"0.014833"	"2.37e-05"	"cfa-mir-146b"	""
"hsa-miR-3162-3p_st"	"0.015443"	"2.53e-05"	"hsa-mir-3162"	""
"zma-miR394b_st"	"0.016566"	"2.84e-05"	"zma-MIR394b"	""
"hsa-miR-181d_st"	"0.016566"	"2.85e-05"	"hsa-mir-181d"	""
"bta-miR-200b_st"	"0.016566"	"2.91e-05"	"bta-mir-200b"	""
"hsa-miR-193b-star_st"	"0.018667"	"3.36e-05"	"hsa-mir-193b"	""
"oan-miR-200b_st"	"0.021227"	"3.90e-05"	"oan-mir-200b"	""
"mdo-miR-200b_st"	"0.021376"	"4.02e-05"	"mdo-mir-200b"	""
"mmu-miR-21_st"	"0.021588"	"4.14e-05"	"mmu-mir-21"	""
"mmu-miR-193b-star_st"	"0.022067"	"4.41e-05"	"mmu-mir-193b"	""
"vvi-miR394b_st"	"0.022067"	"4.47e-05"	"vvi-MIR394b"	""
"pma-miR-4568_st"	"0.022067"	"4.54e-05"	"pma-mir-4568"	""
"tni-miR-200b_st"	"0.022067"	"4.60e-05"	"tni-mir-200b"	""
"ptc-miR394b-5p_st"	"0.022067"	"4.68e-05"	"ptc-MIR394b"	""
"hsv2-miR-H24_st"	"0.023691"	"5.19e-05"	"hsv2-mir-H24"	""
"tca-miR-3811b-3p_st"	"0.023691"	"5.21e-05"	"tca-mir-3811b"	""
"cfa-miR-150_st"	"0.026785"	"6.00e-05"	"cfa-mir-150"	""
"tgu-miR-200b_st"	"0.026865"	"6.12e-05"	"tgu-mir-200b"	""
"U43_st"	"0.027085"	"6.28e-05"	""	"CDBox: U43"
"csi-miR482b_st"	"0.027595"	"6.51e-05"	"csi-MIR482b"	""
"rno-miR-200a_st"	"0.027927"	"6.70e-05"	"rno-mir-200a"	""
"mdo-miR-21_st"	"0.028133"	"7.07e-05"	"mdo-mir-21"	""
"dre-miR-200a_st"	"0.028133"	"7.15e-05"	"dre-mir-200a"	""
"crm-miR-233_st"	"0.028133"	"7.25e-05"	"crm-mir-233"	""
"ppy-miR-182_st"	"0.028133"	"7.28e-05"	"ppy-mir-182"	""
"osa-miR1868_st"	"0.028133"	"7.34e-05"	"osa-MIR1868"	""
"gga-let-7d_st"	"0.028133"	"7.51e-05"	"gga-let-7d"	""
"ssc-miR-21_st"	"0.028133"	"7.54e-05"	"ssc-mir-21"	""
"hsa-miR-483-5p_st"	"0.028515"	"7.87e-05"	"hsa-mir-483"	""
"gga-miR-1677-star_st"	"0.028515"	"7.97e-05"	"gga-mir-1677"	""
"ptc-miR166c_st"	"0.028515"	"8.05e-05"	"ptc-MIR166c"	""
"bta-miR-339b_st"	"0.028515"	"8.13e-05"	"bta-mir-339b"	""
"xtr-miR-200b_st"	"0.028515"	"8.21e-05"	"xtr-mir-200b"	""
"ppy-miR-450b-5p_st"	"0.029941"	"8.74e-05"	"ppy-mir-450b"	""
"cfa-miR-200a_st"	"0.030243"	"8.95e-05"	"cfa-mir-200a"	""
"AFFX-HUMRGE/M10098_M_st"	"0.031067"	"9.31e-05"	""	"--Affymetrix Control Sequence"
"mml-miR-132_st"	"0.031437"	"9.55e-05"	"mml-mir-132"	""
"dpu-miR-10_st"	"0.031721"	"9.76e-05"	"dpu-mir-10"	""
"hsa-miR-193b_st"	"0.032161"	"1.00e-04"	"hsa-mir-193b"	""
"cfa-miR-200b_st"	"0.033856"	"1.07e-04"	"cfa-mir-200b"	""
"dre-miR-130a_st"	"0.033856"	"1.08e-04"	"dre-mir-130a-1 // dre-mir-130a-2"	""
"cgr-miR-21_st"	"0.035037"	"1.13e-04"	"cgr-mir-21"	""
"bfl-miR-200a_st"	"0.03572"	"1.17e-04"	"bfl-mir-200a"	""
"ptr-miR-193b_st"	"0.035753"	"1.19e-04"	"ptr-mir-193b"	""
"rno-miR-378-star_st"	"0.035753"	"1.21e-04"	"rno-mir-378"	""
"bta-miR-146b_st"	"0.035753"	"1.21e-04"	"bta-mir-146b"	""
"ggo-miR-21_st"	"0.036622"	"1.26e-04"	"ggo-mir-21"	""
"ptc-miR394a-5p_st"	"0.038679"	"1.35e-04"	"ptc-MIR394a"	""
"oan-miR-21_st"	"0.038679"	"1.36e-04"	"oan-mir-21"	""
"ppy-miR-31_st"	"0.038804"	"1.38e-04"	"ppy-mir-31"	""
"bta-miR-20a_st"	"0.039272"	"1.42e-04"	"bta-mir-20a"	""
"ppy-miR-193b_st"	"0.039272"	"1.43e-04"	"ppy-mir-193b"	""
"mml-miR-193b_st"	"0.039896"	"1.47e-04"	"mml-mir-193b"	""
"mml-miR-1239_st"	"0.040389"	"1.50e-04"	"mml-mir-1239"	""
"dmo-miR-100_st"	"0.040731"	"1.55e-04"	"dmo-mir-100"	""
"ahy-miR394_st"	"0.040731"	"1.56e-04"	"ahy-MIR394"	""
"hsa-miR-339-3p_st"	"0.040731"	"1.56e-04"	"hsa-mir-339"	""
"mmu-miR-877-star_st"	"0.041164"	"1.62e-04"	"mmu-mir-877"	""
"hsa-miR-378_st"	"0.041164"	"1.64e-04"	"hsa-mir-378"	""
"rno-miR-224-star_st"	"0.041164"	"1.67e-04"	"rno-mir-224"	""
"cfa-miR-20a_st"	"0.041164"	"1.68e-04"	"cfa-mir-20a"	""
"zma-miR166k-star_st"	"0.041164"	"1.69e-04"	"zma-MIR166k"	""
"ppa-miR-224_st"	"0.041164"	"1.70e-04"	"ppa-mir-224"	""
"ghr-miR166b_st"	"0.041164"	"1.71e-04"	"ghr-MIR166b"	""
"rno-miR-483_st"	"0.041164"	"1.71e-04"	"rno-mir-483"	""
"oan-miR-221_st"	"0.041679"	"1.75e-04"	"oan-mir-221"	""
"ppt-miR1056_st"	"0.042919"	"1.82e-04"	"ppt-MIR1056"	""
"mml-miR-128b_st"	"0.043697"	"1.87e-04"	"mml-mir-128b"	""
"mne-miR-21_st"	"0.044774"	"1.94e-04"	"mne-mir-21"	""
"ssc-miR-425-3p_st"	"0.044774"	"1.95e-04"	"ssc-mir-425"	""
"oan-miR-23a_st"	"0.045027"	"2.00e-04"	"oan-mir-23a"	""
"dan-miR-92a_st"	"0.045027"	"2.00e-04"	"dan-mir-92a"	""
"U43_x_st"	"0.046848"	"2.10e-04"	""	"CDBox: U43"
"ppy-miR-345_st"	"0.046848"	"2.12e-04"	"ppy-mir-345"	""
"eca-miR-20a_st"	"0.047908"	"2.18e-04"	"eca-mir-20a"	""
"ggo-miR-224_st"	"0.049124"	"2.26e-04"	"ggo-mir-224"	""
"pma-miR-199b_st"	"0.049124"	"2.28e-04"	"pma-mir-199b"	""
"mne-miR-130a_st"	"0.049268"	"2.31e-04"	"mne-mir-130a"	""
"mmu-miR-150_st"	"0.049268"	"2.32e-04"	"mmu-mir-150"	""
"ptc-miR472b_st"	"0.049583"	"2.36e-04"	"ptc-MIR472b"	""
"ggo-miR-23a_st"	"0.050272"	"2.41e-04"	"ggo-mir-23a"	""
"rno-miR-18a_st"	"0.050272"	"2.43e-04"	"rno-mir-18a"	""
"ggo-miR-106a_st"	"0.050568"	"2.48e-04"	"ggo-mir-106a"	""
"oan-miR-1386_st"	"0.050568"	"2.49e-04"	"oan-mir-1386"	""
"mml-miR-1234_st"	"0.051803"	"2.61e-04"	"mml-mir-1234"	""
"ptr-miR-21_st"	"0.051803"	"2.61e-04"	"ptr-mir-21"	""
"eca-miR-31_st"	"0.051803"	"2.63e-04"	"eca-mir-31"	""
"aqc-miR166b_st"	"0.051803"	"2.64e-04"	"aqc-MIR166b"	""
"bna-miR166c_st"	"0.051803"	"2.65e-04"	"bna-MIR166c"	""
"mdo-miR-23a_st"	"0.052336"	"2.70e-04"	"mdo-mir-23a"	""
"pma-miR-182_st"	"0.052347"	"2.72e-04"	"pma-mir-182"	""
"rno-miR-200b_st"	"0.052409"	"2.74e-04"	"rno-mir-200b"	""
"eca-miR-224_st"	"0.052686"	"2.78e-04"	"eca-mir-224"	""
"xtr-miR-18a_st"	"0.052686"	"2.80e-04"	"xtr-mir-18a"	""
"hsa-miR-378-star_st"	"0.052743"	"2.83e-04"	"hsa-mir-378"	""
"mml-miR-30a-5p_st"	"0.054424"	"2.94e-04"	"mml-mir-30a"	""
"cfa-miR-23a_st"	"0.05475"	"2.98e-04"	"cfa-mir-23a"	""
"U54_st"	"0.05493"	"3.05e-04"	""	"CDBox: U54"
"hp_hsa-mir-193b_st"	"0.05493"	"3.06e-04"	""	"stem-loop: hsa-mir-193b"
"lca-miR-23a_st"	"0.05493"	"3.07e-04"	"lca-mir-23a"	""
"bta-miR-2904_st"	"0.05493"	"3.07e-04"	"bta-mir-2904-1 // bta-mir-2904-2 // bta-mir-2904-3"	""
"mml-miR-452_st"	"0.055206"	"3.11e-04"	"mml-mir-452"	""
"bta-miR-150_st"	"0.055256"	"3.14e-04"	"bta-mir-150"	""
"cfa-miR-505_st"	"0.055273"	"3.18e-04"	"cfa-mir-505"	""
"dsi-miR-100_st"	"0.055273"	"3.18e-04"	"dsi-mir-100"	""
"dgr-miR-92a_st"	"0.05563"	"3.25e-04"	"dgr-mir-92a"	""
"dsi-miR-92a_st"	"0.05563"	"3.27e-04"	"dsi-mir-92a"	""
"dwi-miR-92a_st"	"0.05563"	"3.27e-04"	"dwi-mir-92a"	""
"bfl-miR-92a_st"	"0.055638"	"3.29e-04"	"bfl-mir-92a-1 // bfl-mir-92a-2 // bfl-mir-92a-3"	""
"oan-miR-130b_st"	"0.055981"	"3.35e-04"	"oan-mir-130b"	""
"mmu-miR-199b-star_st"	"0.055981"	"3.39e-04"	"mmu-mir-199b"	""
"ptr-miR-224_st"	"0.055981"	"3.40e-04"	"ptr-mir-224"	""
"ptr-miR-23a_st"	"0.055981"	"3.40e-04"	"ptr-mir-23a"	""
"rno-miR-20a_st"	"0.055988"	"3.42e-04"	"rno-mir-20a"	""
"ppy-miR-1263_st"	"0.056527"	"3.48e-04"	"ppy-mir-1263"	""
"eca-miR-200b_st"	"0.056531"	"3.51e-04"	"eca-mir-200b"	""
"ppy-miR-23a_st"	"0.056531"	"3.54e-04"	"ppy-mir-23a"	""
"hsa-miR-23a_st"	"0.056531"	"3.55e-04"	"hsa-mir-23a"	""
"lgi-miR-92_st"	"0.058197"	"3.68e-04"	"lgi-mir-92"	""
"mdo-miR-1548_st"	"0.058341"	"3.71e-04"	"mdo-mir-1548"	""
"xla-miR-23a_st"	"0.05878"	"3.76e-04"	"xla-mir-23a"	""
"mml-miR-21_st"	"0.058975"	"3.80e-04"	"mml-mir-21"	""
"tgu-miR-17a-5p_st"	"0.059306"	"3.84e-04"	"tgu-mir-17a"	""
"ptr-miR-452_st"	"0.059346"	"3.88e-04"	"ptr-mir-452"	""
"cfa-miR-27a_st"	"0.059346"	"3.91e-04"	"cfa-mir-27a"	""
"xtr-miR-23a_st"	"0.059346"	"3.92e-04"	"xtr-mir-23a-1 // xtr-mir-23a-2"	""
"fru-miR-92_st"	"0.059346"	"3.94e-04"	"fru-mir-92-1 // fru-mir-92-2"	""
"mml-miR-139-5p_st"	"0.059609"	"3.99e-04"	"mml-mir-139"	""
"mml-miR-224_st"	"0.059609"	"4.02e-04"	"mml-mir-224"	""
"mmu-miR-200b_st"	"0.059609"	"4.04e-04"	"mmu-mir-200b"	""
"tgu-miR-130c_st"	"0.059609"	"4.05e-04"	"tgu-mir-130c"	""
"cte-miR-92c_st"	"0.059672"	"4.08e-04"	"cte-mir-92c"	""
"AFFX-HUMRGE/M10098_5_st"	"0.059698"	"4.11e-04"	""	"--Affymetrix Control Sequence"
"dvi-miR-92a_st"	"0.059698"	"4.13e-04"	"dvi-mir-92a"	""
"eca-miR-23a_st"	"0.059698"	"4.15e-04"	"eca-mir-23a"	""
"ppy-miR-92_st"	"0.059737"	"4.21e-04"	"ppy-mir-92-1 // ppy-mir-92-2"	""
"mgh28S-2411_st"	"0.059737"	"4.23e-04"	""	"CDBox: mgh28S-2411"
"pma-miR-4600_st"	"0.059737"	"4.24e-04"	"pma-mir-4600"	""
"sla-miR-106a_st"	"0.059737"	"4.27e-04"	"sla-mir-106a"	""
"fru-miR-20_st"	"0.059737"	"4.27e-04"	"fru-mir-20"	""
"ppy-miR-223_st"	"0.060612"	"4.36e-04"	"ppy-mir-223"	""
"ppy-miR-17-5p_st"	"0.061369"	"4.45e-04"	"ppy-mir-17"	""
"bta-miR-92_st"	"0.061369"	"4.47e-04"	"bta-mir-92"	""
"oan-miR-199-star_st"	"0.061369"	"4.52e-04"	"oan-mir-199"	""
"mml-miR-23a_st"	"0.061369"	"4.55e-04"	"mml-mir-23a"	""
"rno-miR-532-5p_st"	"0.061369"	"4.58e-04"	"rno-mir-532"	""
"mml-miR-199a-3p_st"	"0.061369"	"4.58e-04"	"mml-mir-199a-2"	""
"sla-miR-23a_st"	"0.061369"	"4.59e-04"	"sla-mir-23a"	""
"eca-miR-378_st"	"0.061621"	"4.63e-04"	"eca-mir-378"	""
"hsa-miR-17_st"	"0.061659"	"4.67e-04"	"hsa-mir-17"	""
"mmu-miR-31_st"	"0.061659"	"4.69e-04"	"mmu-mir-31"	""
"ppa-miR-21_st"	"0.061659"	"4.73e-04"	"ppa-mir-21"	""
"hsa-miR-221_st"	"0.061659"	"4.75e-04"	"hsa-mir-221"	""
"age-miR-100_st"	"0.061659"	"4.79e-04"	"age-mir-100"	""
"gga-miR-17-5p_st"	"0.061659"	"4.81e-04"	"gga-mir-17"	""
"rno-miR-150_st"	"0.061659"	"4.81e-04"	"rno-mir-150"	""
"eca-miR-150_st"	"0.061678"	"4.85e-04"	"eca-mir-150"	""
"ptr-miR-92_st"	"0.061678"	"4.87e-04"	"ptr-mir-92-1 // ptr-mir-92-2"	""
"xtr-miR-106_st"	"0.061678"	"4.88e-04"	"xtr-mir-106"	""
"mmu-miR-700_st"	"0.062388"	"4.96e-04"	"mmu-mir-700"	""
"dpe-miR-92a_st"	"0.06265"	"5.01e-04"	"dpe-mir-92a"	""
"AFFX-M27830_5_st"	"0.062867"	"5.05e-04"	""	"--Affymetrix Control Sequence"
"mmu-miR-378_st"	"0.063088"	"5.10e-04"	"mmu-mir-378"	""
"mne-miR-199a_st"	"0.063088"	"5.15e-04"	"mne-mir-199a"	""
"bta-miR-17-5p_st"	"0.063088"	"5.17e-04"	"bta-mir-17"	""
"crm-miR-239a_st"	"0.063088"	"5.20e-04"	"crm-mir-239a"	""
"mml-miR-578_st"	"0.063088"	"5.22e-04"	"mml-mir-578"	""
"cbr-miR-38_st"	"0.063088"	"5.30e-04"	"cbr-mir-38"	""
"xtr-miR-92a_st"	"0.063088"	"5.31e-04"	"xtr-mir-92a-1 // xtr-mir-92a-2"	""
"tgu-miR-20a_st"	"0.063088"	"5.34e-04"	"tgu-mir-20a"	""
"ptr-miR-378_st"	"0.063088"	"5.35e-04"	"ptr-mir-378"	""
"bmo-miR-3387_st"	"0.063088"	"5.38e-04"	"bmo-mir-3387"	""
"cfa-miR-106a_st"	"0.063088"	"5.41e-04"	"cfa-mir-106a"	""
"vvi-miR166d_st"	"0.063088"	"5.41e-04"	"vvi-MIR166d"	""
"mdo-miR-20_st"	"0.063088"	"5.41e-04"	"mdo-mir-20"	""
"ppy-miR-199a-3p_st"	"0.063088"	"5.43e-04"	"ppy-mir-199a-2"	""
"ENSG00000238752_st"	"0.063088"	"5.45e-04"	""	"snoRNA: ENSG00000238752"
"spu-miR-92b_st"	"0.063105"	"5.47e-04"	"spu-mir-92b"	""
"rco-miR166a_st"	"0.064284"	"5.63e-04"	"rco-MIR166a"	""
"gga-miR-214_st"	"0.064284"	"5.65e-04"	"gga-mir-214"	""
"hsa-miR-31_st"	"0.064284"	"5.67e-04"	"hsa-mir-31"	""
"cfa-miR-223_st"	"0.064284"	"5.68e-04"	"cfa-mir-223"	""
"mne-miR-23a_st"	"0.065011"	"5.83e-04"	"mne-mir-23a"	""
"sbi-miR394a_st"	"0.065011"	"5.88e-04"	"sbi-MIR394a"	""
"ssc-miR-23a_st"	"0.065011"	"5.94e-04"	"ssc-mir-23a"	""
"gma-miR166a_st"	"0.065011"	"5.95e-04"	"gma-MIR166a"	""
"rno-miR-881_st"	"0.065011"	"5.97e-04"	"rno-mir-881"	""
"dse-miR-100_st"	"0.065011"	"5.98e-04"	"dse-mir-100"	""
"hp_hsa-mir-378_st"	"0.065011"	"5.98e-04"	""	"stem-loop: hsa-mir-378"
"aga-miR-92b_st"	"0.065011"	"5.99e-04"	"aga-mir-92b"	""
"spu-miR-92a_st"	"0.065011"	"6.00e-04"	"spu-mir-92a"	""
"hsa-miR-4317_st"	"0.065011"	"6.00e-04"	"hsa-mir-4317"	""
"ppa-miR-23a_st"	"0.065047"	"6.04e-04"	"ppa-mir-23a"	""
"dre-miR-200b_st"	"0.065047"	"6.08e-04"	"dre-mir-200b"	""
"bta-miR-23a_st"	"0.065047"	"6.10e-04"	"bta-mir-23a"	""
"tni-miR-23a_st"	"0.065047"	"6.11e-04"	"tni-mir-23a-1 // tni-mir-23a-2 // tni-mir-23a-3"	""
"mmu-miR-17_st"	"0.065271"	"6.18e-04"	"mmu-mir-17"	""
"tgu-miR-92_st"	"0.065271"	"6.18e-04"	"tgu-mir-92-1 // tgu-mir-92-2"	""
"ppy-miR-199b-3p_st"	"0.066371"	"6.31e-04"	"ppy-mir-199b"	""
"mmu-miR-23a_st"	"0.067192"	"6.43e-04"	"mmu-mir-23a"	""
"hp_hsa-mir-194-2_x_st"	"0.067192"	"6.46e-04"	""	"stem-loop: hsa-mir-194-2"
"ssc-miR-221_st"	"0.067192"	"6.47e-04"	"ssc-mir-221"	""
"ACA63_st"	"0.067284"	"6.51e-04"	""	"HAcaBox: ACA63"
"mml-miR-31_st"	"0.067664"	"6.59e-04"	"mml-mir-31"	""
"age-miR-23a_st"	"0.067664"	"6.60e-04"	"age-mir-23a"	""
"ppy-miR-130a_st"	"0.067749"	"6.64e-04"	"ppy-mir-130a"	""
"mml-miR-106a_st"	"0.067765"	"6.69e-04"	"mml-mir-106a"	""
"eca-miR-182_st"	"0.067765"	"6.72e-04"	"eca-mir-182"	""
"hsa-miR-92a_st"	"0.067765"	"6.73e-04"	"hsa-mir-92a-1 // hsa-mir-92a-2"	""
"pma-miR-221_st"	"0.067765"	"6.75e-04"	"pma-mir-221"	""
"oan-miR-181c_st"	"0.067983"	"6.80e-04"	"oan-mir-181c"	""
"bta-miR-199a-5p_st"	"0.067983"	"6.85e-04"	"bta-mir-199a-1 // bta-mir-199a-2"	""
"xtr-miR-20a_st"	"0.067983"	"6.86e-04"	"xtr-mir-20a"	""
"hsa-miR-30b-star_st"	"0.067983"	"6.88e-04"	"hsa-mir-30b"	""
"ssc-miR-224_st"	"0.068594"	"6.96e-04"	"ssc-mir-224"	""
"gma-miR1510a-3p_st"	"0.069383"	"7.08e-04"	"gma-MIR1510a"	""
"dre-miR-23a_st"	"0.069383"	"7.11e-04"	"dre-mir-23a-1 // dre-mir-23a-2 // dre-mir-23a-3"	""
"dme-miR-92a-3p_st"	"0.069383"	"7.13e-04"	"dme-mir-92a"	""
"ppy-miR-150_st"	"0.069383"	"7.16e-04"	"ppy-mir-150"	""
"dmo-miR-92a_st"	"0.069454"	"7.21e-04"	"dmo-mir-92a"	""
"age-miR-17-5p_st"	"0.069454"	"7.25e-04"	"age-mir-17"	""
"eca-miR-92a_st"	"0.069454"	"7.27e-04"	"eca-mir-92a // eca-mir-92a-2"	""
"bta-miR-1839_st"	"0.069454"	"7.27e-04"	"bta-mir-1839"	""
"lla-miR-17-5p_st"	"0.070405"	"7.43e-04"	"lla-mir-17"	""
"tni-let-7i_st"	"0.070405"	"7.43e-04"	"tni-let-7i"	""
"cfa-miR-195_st"	"0.070405"	"7.46e-04"	"cfa-mir-195"	""
"ssc-miR-199a-3p_st"	"0.070499"	"7.52e-04"	"ssc-mir-199a-2"	""
"ppa-miR-188_st"	"0.070499"	"7.56e-04"	"ppa-mir-188"	""
"gga-miR-20a_st"	"0.070499"	"7.57e-04"	"gga-mir-20a"	""
"ame-miR-3751_st"	"0.070499"	"7.58e-04"	"ame-mir-3751"	""
"ggo-miR-92_st"	"0.070693"	"7.63e-04"	"ggo-mir-92-1 // ggo-mir-92-2"	""
"rno-miR-301a_st"	"0.071538"	"7.76e-04"	"rno-mir-301a"	""
"cfa-miR-92a_st"	"0.071538"	"7.78e-04"	"cfa-mir-92a-1 // cfa-mir-92a-2"	""
"bta-miR-221_st"	"0.072118"	"7.87e-04"	"bta-mir-221"	""
"ppy-miR-21_st"	"0.072409"	"7.93e-04"	"ppy-mir-21"	""
"bta-miR-10b_st"	"0.072409"	"7.98e-04"	"bta-mir-10b"	""
"cfa-miR-199_st"	"0.072409"	"8.07e-04"	"cfa-mir-199-1 // cfa-mir-199-2 // cfa-mir-199-3"	""
"gga-miR-92_st"	"0.072409"	"8.08e-04"	"gga-mir-92"	""
"lla-miR-199a_st"	"0.072409"	"8.09e-04"	"lla-mir-199a"	""
"osa-miR1846b-3p_st"	"0.072409"	"8.10e-04"	"osa-MIR1846b"	""
"rno-miR-130a_st"	"0.072409"	"8.10e-04"	"rno-mir-130a"	""
"hsa-miR-629_st"	"0.072414"	"8.13e-04"	"hsa-mir-629"	""
"ppy-miR-148b_st"	"0.072505"	"8.19e-04"	"ppy-mir-148b"	""
"nlo-miR-10_st"	"0.072505"	"8.20e-04"	"nlo-mir-10"	""
"sko-miR-92b_st"	"0.072941"	"8.33e-04"	"sko-mir-92b"	""
"cel-miR-235-star_st"	"0.072941"	"8.33e-04"	"cel-mir-235"	""
"fru-miR-23a_st"	"0.072941"	"8.35e-04"	"fru-mir-23a-1 // fru-mir-23a-2 // fru-mir-23a-3"	""
"ptr-miR-199a-3p_st"	"0.072941"	"8.37e-04"	"ptr-mir-199a-1"	""
"bta-miR-224_st"	"0.073567"	"8.60e-04"	"bta-mir-224"	""
"bta-miR-378_st"	"0.073567"	"8.67e-04"	"bta-mir-378 // bta-mir-378-2"	""
"eca-miR-129b-5p_st"	"0.073567"	"8.73e-04"	"eca-mir-129b"	""
"xtr-miR-130a_st"	"0.073567"	"8.75e-04"	"xtr-mir-130a"	""
"hsa-miR-20a_st"	"0.073567"	"8.77e-04"	"hsa-mir-20a"	""
"eca-miR-199a-5p_st"	"0.073567"	"8.78e-04"	"eca-mir-199a"	""
"dre-miR-199_st"	"0.073567"	"8.79e-04"	"dre-mir-199-1 // dre-mir-199-2 // dre-mir-199-3"	""
"xtr-miR-125a_st"	"0.073567"	"8.79e-04"	"xtr-mir-125a"	""
"aae-miR-10_st"	"0.073567"	"8.80e-04"	"aae-mir-10"	""
"aqc-miR166e_st"	"0.073567"	"8.80e-04"	"aqc-MIR166e"	""
"lla-miR-92_st"	"0.073567"	"8.84e-04"	"lla-mir-92-1 // lla-mir-92-2"	""
"bta-miR-139_st"	"0.073567"	"8.84e-04"	"bta-mir-139"	""
"xtr-miR-24b_st"	"0.073567"	"8.88e-04"	"xtr-mir-24b"	""
"dya-miR-311a_st"	"0.073567"	"8.88e-04"	"dya-mir-311a"	""
"hsa-miR-222_st"	"0.073567"	"8.90e-04"	"hsa-mir-222"	""
"mml-miR-378_st"	"0.073567"	"8.94e-04"	"mml-mir-378"	""
"ppa-miR-92_st"	"0.073567"	"8.95e-04"	"ppa-mir-92-1 // ppa-mir-92-2"	""
"hvu-miR166_st"	"0.073567"	"8.98e-04"	"hvu-MIR166"	""
"dre-miR-92a_st"	"0.073567"	"9.00e-04"	"dre-mir-92a-1 // dre-mir-92a-2"	""
"mmu-miR-5109_st"	"0.074212"	"9.15e-04"	"mmu-mir-5109"	""
"mdo-miR-10a_st"	"0.074212"	"9.20e-04"	"mdo-mir-10a"	""
"mml-miR-182_st"	"0.074212"	"9.20e-04"	"mml-mir-182"	""
"bdi-miR166c_st"	"0.074212"	"9.21e-04"	"bdi-MIR166c"	""
"mmu-let-7i_st"	"0.074212"	"9.23e-04"	"mmu-let-7i"	""
"mmu-miR-221_st"	"0.07466"	"9.31e-04"	"mmu-mir-221"	""
"lca-miR-17-5p_st"	"0.074679"	"9.34e-04"	"lca-mir-17"	""
"rno-miR-23a_st"	"0.074739"	"9.38e-04"	"rno-mir-23a"	""
"xtr-miR-17-5p_st"	"0.075188"	"9.47e-04"	"xtr-mir-17"	""
"rno-miR-347_st"	"0.075455"	"9.53e-04"	"rno-mir-347"	""
