"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"miRNA_ID_LIST"	"SPOT_ID"
"fRu-miR-200a_st"	"0.000907"	"1.14e-07"	"1.03e+01"	"7.379649"	"3.21"	"fRu-miR-200a"	""
"tgu-miR-146b_st"	"0.000907"	"1.33e-07"	"1.02e+01"	"7.261979"	"2.25"	"tgu-miR-146b"	""
"mml-miR-200a_st"	"0.000907"	"1.36e-07"	"1.02e+01"	"7.243005"	"2.75"	"mml-miR-200a"	""
"dRe-miR-141_st"	"0.000907"	"1.45e-07"	"1.01e+01"	"7.194935"	"2.79"	"dRe-miR-141"	""
"gga-miR-146b_st"	"0.000973"	"1.95e-07"	"9.86"	"6.965928"	"2.46"	"gga-miR-146b"	""
"mdo-miR-200a_st"	"0.001184"	"2.84e-07"	"9.54"	"6.667695"	"3.17"	"mdo-miR-200a"	""
"hsa-miR-200b_st"	"0.001788"	"5.11e-07"	"9.07"	"6.196293"	"1.98"	"hsa-miR-200b"	""
"pma-miR-146_st"	"0.001788"	"5.72e-07"	"8.98"	"6.104245"	"1.95"	"pma-miR-146"	""
"ptR-miR-200a_st"	"0.001848"	"6.65e-07"	"8.86"	"5.981326"	"2.99"	"ptR-miR-200a"	""
"ppy-miR-224_st"	"0.00279"	"1.12e-06"	"8.46"	"5.554042"	"1.83"	"ppy-miR-224"	""
"csa-miR-200_st"	"0.003123"	"1.37e-06"	"8.31"	"5.380597"	"2.34"	"csa-miR-200"	""
"mdo-miR-146b_st"	"0.004349"	"2.14e-06"	"7.98"	"5.004974"	"1.66"	"mdo-miR-146b"	""
"dRe-miR-200c_st"	"0.004349"	"2.28e-06"	"7.94"	"4.952315"	"1.44"	"dRe-miR-200c"	""
"ppy-miR-146b-5p_st"	"0.004349"	"2.43e-06"	"7.89"	"4.897263"	"1.80"	"ppy-miR-146b"	""
"eca-miR-146b-5p_st"	"0.004356"	"2.61e-06"	"7.84"	"4.837046"	"2.00"	"eca-miR-146b"	""
"xtR-miR-200a_st"	"0.004559"	"3.14e-06"	"7.71"	"4.67948"	"2.75"	"xtR-miR-200a"	""
"tni-miR-200a_st"	"0.004559"	"3.22e-06"	"7.69"	"4.657826"	"3.07"	"tni-miR-200a"	""
"eca-miR-200a_st"	"0.004559"	"3.29e-06"	"7.68"	"4.639166"	"2.98"	"eca-miR-200a"	""
"mmu-miR-200a_st"	"0.004559"	"3.46e-06"	"7.64"	"4.595784"	"2.44"	"mmu-miR-200a"	""
"gga-miR-200a_st"	"0.005346"	"4.27e-06"	"7.49"	"4.414325"	"3.00"	"gga-miR-200a"	""
"mmu-miR-146b_st"	"0.006739"	"5.90e-06"	"7.27"	"4.134715"	"1.90"	"mmu-miR-146b"	""
"ptR-miR-146b_st"	"0.006739"	"5.93e-06"	"7.27"	"4.130939"	"1.84"	"ptR-miR-146b"	""
"tgu-miR-200a_st"	"0.007136"	"6.56e-06"	"7.20"	"4.042228"	"2.47"	"tgu-miR-200a"	""
"hsa-miR-146b-5p_st"	"0.007403"	"7.13e-06"	"7.14"	"3.969486"	"1.88"	"hsa-miR-146b"	""
"ppy-miR-200a_st"	"0.007403"	"7.56e-06"	"7.10"	"3.918866"	"2.97"	"ppy-miR-200a"	""
"hsa-miR-200a_st"	"0.007403"	"7.69e-06"	"7.09"	"3.902891"	"2.98"	"hsa-miR-200a"	""
"hsa-miR-224-staR_st"	"0.008101"	"8.85e-06"	"7.00"	"3.780412"	"1.59"	"hsa-miR-224"	""
"mmu-miR-505-5p_st"	"0.008101"	"9.07e-06"	"-6.98"	"3.758799"	"-1.67"	"mmu-miR-505"	""
"tcc-miR394b_st"	"0.008553"	"9.92e-06"	"-6.92"	"3.680055"	"-1.49"	"tcc-MIR394b"	""
"oan-miR-200a_st"	"0.012161"	"1.55e-05"	"6.63"	"3.284915"	"2.46"	"oan-miR-200a"	""
"oan-miR-146b_st"	"0.012161"	"1.55e-05"	"6.63"	"3.28282"	"1.78"	"oan-miR-146b"	""
"ppa-miR-223_st"	"0.012161"	"1.60e-05"	"-6.61"	"3.256506"	"-7.14e-01"	"ppa-miR-223"	""
"mml-miR-146b-5p_st"	"0.012161"	"1.63e-05"	"6.60"	"3.238911"	"1.75"	"mml-miR-146b"	""
"fRu-miR-200b_st"	"0.012161"	"1.65e-05"	"6.59"	"3.227413"	"1.63"	"fRu-miR-200b"	""
"mne-miR-224_st"	"0.012612"	"1.82e-05"	"6.53"	"3.139899"	"1.70"	"mne-miR-224"	""
"bta-miR-200a_st"	"0.012612"	"1.85e-05"	"6.52"	"3.124863"	"1.83"	"bta-miR-200a"	""
"gga-miR-200b_st"	"0.012612"	"1.87e-05"	"6.51"	"3.119579"	"2.23"	"gga-miR-200b"	""
"ssc-miR-146b_st"	"0.0142"	"2.18e-05"	"6.42"	"2.981829"	"1.82"	"ssc-miR-146b"	""
"cfa-miR-224_st"	"0.0142"	"2.21e-05"	"6.41"	"2.966532"	"1.61"	"cfa-miR-224"	""
"cfa-miR-146b_st"	"0.014833"	"2.37e-05"	"6.36"	"2.904731"	"1.96"	"cfa-miR-146b"	""
"hsa-miR-3162-3p_st"	"0.015443"	"2.53e-05"	"-6.32"	"2.846452"	"-1.35"	"hsa-miR-3162"	""
"zma-miR394b_st"	"0.016566"	"2.84e-05"	"-6.25"	"2.743998"	"-1.23"	"zma-MIR394b"	""
"hsa-miR-181d_st"	"0.016566"	"2.85e-05"	"6.25"	"2.740432"	"1.30"	"hsa-miR-181d"	""
"bta-miR-200b_st"	"0.016566"	"2.91e-05"	"6.23"	"2.719892"	"2.04"	"bta-miR-200b"	""
"hsa-miR-193b-staR_st"	"0.018667"	"3.36e-05"	"-6.15"	"2.592023"	"-1.56"	"hsa-miR-193b"	""
"oan-miR-200b_st"	"0.021227"	"3.90e-05"	"6.05"	"2.456117"	"2.20"	"oan-miR-200b"	""
"mdo-miR-200b_st"	"0.021376"	"4.02e-05"	"6.04"	"2.43032"	"2.41"	"mdo-miR-200b"	""
"mmu-miR-21_st"	"0.021588"	"4.14e-05"	"6.02"	"2.402313"	"1.76"	"mmu-miR-21"	""
"mmu-miR-193b-staR_st"	"0.022067"	"4.41e-05"	"-5.98"	"2.346476"	"-1.64"	"mmu-miR-193b"	""
"vvi-miR394b_st"	"0.022067"	"4.47e-05"	"-5.97"	"2.334151"	"-1.31"	"vvi-MIR394b"	""
"pma-miR-4568_st"	"0.022067"	"4.54e-05"	"5.96"	"2.319321"	"1.21"	"pma-miR-4568"	""
"tni-miR-200b_st"	"0.022067"	"4.60e-05"	"5.95"	"2.308196"	"2.10"	"tni-miR-200b"	""
"ptc-miR394b-5p_st"	"0.022067"	"4.68e-05"	"-5.94"	"2.292655"	"-1.19"	"ptc-MIR394b"	""
"hsv2-miR-H24_st"	"0.023691"	"5.19e-05"	"-5.88"	"2.197934"	"-1.25"	"hsv2-miR-H24"	""
"tca-miR-3811b-3p_st"	"0.023691"	"5.21e-05"	"5.88"	"2.19454"	"7.67e-01"	"tca-miR-3811b"	""
"cfa-miR-150_st"	"0.026785"	"6.00e-05"	"5.79"	"2.066523"	"1.96"	"cfa-miR-150"	""
"tgu-miR-200b_st"	"0.026865"	"6.12e-05"	"5.78"	"2.047665"	"1.88"	"tgu-miR-200b"	""
"U43_st"	"0.027085"	"6.28e-05"	"-5.77"	"2.024391"	"-7.78e-01"	""	"CDBox: U43"
"csi-miR482b_st"	"0.027595"	"6.51e-05"	"-5.74"	"1.991835"	"-8.25e-01"	"csi-MIR482b"	""
"Rno-miR-200a_st"	"0.027927"	"6.70e-05"	"5.73"	"1.965577"	"2.67"	"Rno-miR-200a"	""
"mdo-miR-21_st"	"0.028133"	"7.07e-05"	"5.70"	"1.916799"	"2.26"	"mdo-miR-21"	""
"dRe-miR-200a_st"	"0.028133"	"7.15e-05"	"5.69"	"1.905719"	"2.53"	"dRe-miR-200a"	""
"cRm-miR-233_st"	"0.028133"	"7.25e-05"	"5.68"	"1.893821"	"6.01e-01"	"cRm-miR-233"	""
"ppy-miR-182_st"	"0.028133"	"7.28e-05"	"5.68"	"1.889954"	"1.27"	"ppy-miR-182"	""
"osa-miR1868_st"	"0.028133"	"7.34e-05"	"5.67"	"1.881623"	"1.08"	"osa-MIR1868"	""
"gga-let-7d_st"	"0.028133"	"7.51e-05"	"5.66"	"1.861052"	"9.44e-01"	"gga-let-7d"	""
"ssc-miR-21_st"	"0.028133"	"7.54e-05"	"5.66"	"1.858149"	"1.69"	"ssc-miR-21"	""
"hsa-miR-483-5p_st"	"0.028515"	"7.87e-05"	"-5.63"	"1.817968"	"-1.21"	"hsa-miR-483"	""
"gga-miR-1677-staR_st"	"0.028515"	"7.97e-05"	"5.62"	"1.807144"	"5.92e-01"	"gga-miR-1677"	""
"ptc-miR166c_st"	"0.028515"	"8.05e-05"	"-5.62"	"1.797261"	"-1.03"	"ptc-MIR166c"	""
"bta-miR-339b_st"	"0.028515"	"8.13e-05"	"5.61"	"1.78846"	"8.79e-01"	"bta-miR-339b"	""
"xtR-miR-200b_st"	"0.028515"	"8.21e-05"	"5.61"	"1.780051"	"2.38"	"xtR-miR-200b"	""
"ppy-miR-450b-5p_st"	"0.029941"	"8.74e-05"	"-5.57"	"1.722753"	"-7.06e-01"	"ppy-miR-450b"	""
"cfa-miR-200a_st"	"0.030243"	"8.95e-05"	"5.56"	"1.701106"	"5.74e-01"	"cfa-miR-200a"	""
"AFFX-HUMRGE/M10098_M_st"	"0.031067"	"9.31e-05"	"-5.53"	"1.664195"	"-1.01"	""	"--AffymetRix ContRol Sequence"
"mml-miR-132_st"	"0.031437"	"9.55e-05"	"5.52"	"1.64122"	"1.15"	"mml-miR-132"	""
"dpu-miR-10_st"	"0.031721"	"9.76e-05"	"5.50"	"1.620994"	"1.26"	"dpu-miR-10"	""
"hsa-miR-193b_st"	"0.032161"	"1.00e-04"	"-5.49"	"1.596519"	"-1.20"	"hsa-miR-193b"	""
"cfa-miR-200b_st"	"0.033856"	"1.07e-04"	"5.45"	"1.535406"	"9.55e-01"	"cfa-miR-200b"	""
"dRe-miR-130a_st"	"0.033856"	"1.08e-04"	"5.44"	"1.526175"	"6.55e-01"	"dRe-miR-130a-1 // dRe-miR-130a-2"	""
"cgR-miR-21_st"	"0.035037"	"1.13e-04"	"5.42"	"1.48326"	"1.59"	"cgR-miR-21"	""
"bfl-miR-200a_st"	"0.03572"	"1.17e-04"	"5.40"	"1.454259"	"1.12"	"bfl-miR-200a"	""
"ptR-miR-193b_st"	"0.035753"	"1.19e-04"	"-5.39"	"1.436228"	"-1.13"	"ptR-miR-193b"	""
"Rno-miR-378-staR_st"	"0.035753"	"1.21e-04"	"-5.38"	"1.423872"	"-1.44"	"Rno-miR-378"	""
"bta-miR-146b_st"	"0.035753"	"1.21e-04"	"5.38"	"1.420395"	"1.09"	"bta-miR-146b"	""
"ggo-miR-21_st"	"0.036622"	"1.26e-04"	"5.36"	"1.387546"	"1.39"	"ggo-miR-21"	""
"ptc-miR394a-5p_st"	"0.038679"	"1.35e-04"	"-5.32"	"1.326506"	"-1.19"	"ptc-MIR394a"	""
"oan-miR-21_st"	"0.038679"	"1.36e-04"	"5.31"	"1.316106"	"1.67"	"oan-miR-21"	""
"ppy-miR-31_st"	"0.038804"	"1.38e-04"	"5.30"	"1.302741"	"2.25"	"ppy-miR-31"	""
"bta-miR-20a_st"	"0.039272"	"1.42e-04"	"-5.29"	"1.274665"	"-6.47e-01"	"bta-miR-20a"	""
"ppy-miR-193b_st"	"0.039272"	"1.43e-04"	"-5.28"	"1.271234"	"-1.21"	"ppy-miR-193b"	""
"mml-miR-193b_st"	"0.039896"	"1.47e-04"	"-5.27"	"1.246655"	"-1.14"	"mml-miR-193b"	""
"mml-miR-1239_st"	"0.040389"	"1.50e-04"	"-5.26"	"1.22536"	"-4.52e-01"	"mml-miR-1239"	""
"dmo-miR-100_st"	"0.040731"	"1.55e-04"	"5.24"	"1.196076"	"1.42"	"dmo-miR-100"	""
"ahy-miR394_st"	"0.040731"	"1.56e-04"	"-5.23"	"1.18872"	"-1.16"	"ahy-MIR394"	""
"hsa-miR-339-3p_st"	"0.040731"	"1.56e-04"	"5.23"	"1.188326"	"8.62e-01"	"hsa-miR-339"	""
"mmu-miR-877-staR_st"	"0.041164"	"1.62e-04"	"-5.21"	"1.15296"	"-7.49e-01"	"mmu-miR-877"	""
"hsa-miR-378_st"	"0.041164"	"1.64e-04"	"-5.20"	"1.141442"	"-1.02"	"hsa-miR-378"	""
"Rno-miR-224-staR_st"	"0.041164"	"1.67e-04"	"5.19"	"1.125636"	"1.24"	"Rno-miR-224"	""
"cfa-miR-20a_st"	"0.041164"	"1.68e-04"	"-5.19"	"1.121178"	"-6.40e-01"	"cfa-miR-20a"	""
"zma-miR166k-staR_st"	"0.041164"	"1.69e-04"	"5.19"	"1.114242"	"1.02"	"zma-MIR166k"	""
"ppa-miR-224_st"	"0.041164"	"1.70e-04"	"5.18"	"1.1089"	"1.61"	"ppa-miR-224"	""
"ghR-miR166b_st"	"0.041164"	"1.71e-04"	"-5.18"	"1.105631"	"-8.45e-01"	"ghR-MIR166b"	""
"Rno-miR-483_st"	"0.041164"	"1.71e-04"	"-5.18"	"1.104741"	"-7.68e-01"	"Rno-miR-483"	""
"oan-miR-221_st"	"0.041679"	"1.75e-04"	"5.17"	"1.084424"	"1.10"	"oan-miR-221"	""
"ppt-miR1056_st"	"0.042919"	"1.82e-04"	"-5.15"	"1.048609"	"-5.83e-01"	"ppt-MIR1056"	""
"mml-miR-128b_st"	"0.043697"	"1.87e-04"	"5.13"	"1.023333"	"1.07"	"mml-miR-128b"	""
"mne-miR-21_st"	"0.044774"	"1.94e-04"	"5.11"	"0.989143"	"1.49"	"mne-miR-21"	""
"ssc-miR-425-3p_st"	"0.044774"	"1.95e-04"	"-5.11"	"0.983715"	"-7.36e-01"	"ssc-miR-425"	""
"oan-miR-23a_st"	"0.045027"	"2.00e-04"	"5.09"	"0.961745"	"8.26e-01"	"oan-miR-23a"	""
"dan-miR-92a_st"	"0.045027"	"2.00e-04"	"-5.09"	"0.961716"	"-7.68e-01"	"dan-miR-92a"	""
"U43_x_st"	"0.046848"	"2.10e-04"	"-5.06"	"0.914944"	"-7.37e-01"	""	"CDBox: U43"
"ppy-miR-345_st"	"0.046848"	"2.12e-04"	"-5.06"	"0.90854"	"-1.03"	"ppy-miR-345"	""
"eca-miR-20a_st"	"0.047908"	"2.18e-04"	"-5.04"	"0.879672"	"-6.23e-01"	"eca-miR-20a"	""
"ggo-miR-224_st"	"0.049124"	"2.26e-04"	"5.02"	"0.846663"	"1.31"	"ggo-miR-224"	""
"pma-miR-199b_st"	"0.049124"	"2.28e-04"	"5.02"	"0.840393"	"1.22"	"pma-miR-199b"	""
"mne-miR-130a_st"	"0.049268"	"2.31e-04"	"5.01"	"0.828967"	"1.22"	"mne-miR-130a"	""
"mmu-miR-150_st"	"0.049268"	"2.32e-04"	"5.01"	"0.821852"	"1.86"	"mmu-miR-150"	""
"ptc-miR472b_st"	"0.049583"	"2.36e-04"	"-5.00"	"0.808142"	"-8.04e-01"	"ptc-MIR472b"	""
"ggo-miR-23a_st"	"0.050272"	"2.41e-04"	"4.99"	"0.78678"	"9.39e-01"	"ggo-miR-23a"	""
"Rno-miR-18a_st"	"0.050272"	"2.43e-04"	"-4.98"	"0.779925"	"-8.59e-01"	"Rno-miR-18a"	""
"ggo-miR-106a_st"	"0.050568"	"2.48e-04"	"-4.97"	"0.762844"	"-6.08e-01"	"ggo-miR-106a"	""
"oan-miR-1386_st"	"0.050568"	"2.49e-04"	"4.97"	"0.759296"	"1.41"	"oan-miR-1386"	""
"mml-miR-1234_st"	"0.051803"	"2.61e-04"	"-4.94"	"0.71326"	"-1.40"	"mml-miR-1234"	""
"ptR-miR-21_st"	"0.051803"	"2.61e-04"	"4.94"	"0.712876"	"1.28"	"ptR-miR-21"	""
"eca-miR-31_st"	"0.051803"	"2.63e-04"	"4.94"	"0.707165"	"2.22"	"eca-miR-31"	""
"aqc-miR166b_st"	"0.051803"	"2.64e-04"	"-4.94"	"0.704316"	"-9.55e-01"	"aqc-MIR166b"	""
"bna-miR166c_st"	"0.051803"	"2.65e-04"	"-4.93"	"0.700015"	"-1.21"	"bna-MIR166c"	""
"mdo-miR-23a_st"	"0.052336"	"2.70e-04"	"4.92"	"0.683302"	"9.65e-01"	"mdo-miR-23a"	""
"pma-miR-182_st"	"0.052347"	"2.72e-04"	"4.92"	"0.675958"	"1.48"	"pma-miR-182"	""
"Rno-miR-200b_st"	"0.052409"	"2.74e-04"	"4.91"	"0.667746"	"1.45"	"Rno-miR-200b"	""
"eca-miR-224_st"	"0.052686"	"2.78e-04"	"4.91"	"0.655304"	"6.67e-01"	"eca-miR-224"	""
"xtR-miR-18a_st"	"0.052686"	"2.80e-04"	"-4.90"	"0.648811"	"-1.07"	"xtR-miR-18a"	""
"hsa-miR-378-staR_st"	"0.052743"	"2.83e-04"	"-4.90"	"0.640858"	"-1.24"	"hsa-miR-378"	""
"mml-miR-30a-5p_st"	"0.054424"	"2.94e-04"	"4.88"	"0.604859"	"4.44e-01"	"mml-miR-30a"	""
"cfa-miR-23a_st"	"0.05475"	"2.98e-04"	"4.87"	"0.592461"	"8.65e-01"	"cfa-miR-23a"	""
"U54_st"	"0.05493"	"3.05e-04"	"-4.86"	"0.57119"	"-6.35e-01"	""	"CDBox: U54"
"hp_hsa-miR-193b_st"	"0.05493"	"3.06e-04"	"-4.85"	"0.566322"	"-4.21e-01"	""	"stem-loop: hsa-miR-193b"
"lca-miR-23a_st"	"0.05493"	"3.07e-04"	"4.85"	"0.562534"	"9.08e-01"	"lca-miR-23a"	""
"bta-miR-2904_st"	"0.05493"	"3.07e-04"	"-4.85"	"0.56251"	"-6.45e-01"	"bta-miR-2904-1 // bta-miR-2904-2 // bta-miR-2904-3"	""
"mml-miR-452_st"	"0.055206"	"3.11e-04"	"4.84"	"0.551259"	"9.83e-01"	"mml-miR-452"	""
"bta-miR-150_st"	"0.055256"	"3.14e-04"	"4.84"	"0.54385"	"1.90"	"bta-miR-150"	""
"cfa-miR-505_st"	"0.055273"	"3.18e-04"	"-4.83"	"0.531921"	"-1.37"	"cfa-miR-505"	""
"dsi-miR-100_st"	"0.055273"	"3.18e-04"	"4.83"	"0.530589"	"1.46"	"dsi-miR-100"	""
"dgR-miR-92a_st"	"0.05563"	"3.25e-04"	"-4.82"	"0.510419"	"-7.26e-01"	"dgR-miR-92a"	""
"dsi-miR-92a_st"	"0.05563"	"3.27e-04"	"-4.82"	"0.505487"	"-7.68e-01"	"dsi-miR-92a"	""
"dwi-miR-92a_st"	"0.05563"	"3.27e-04"	"-4.82"	"0.505468"	"-7.69e-01"	"dwi-miR-92a"	""
"bfl-miR-92a_st"	"0.055638"	"3.29e-04"	"-4.81"	"0.499032"	"-7.87e-01"	"bfl-miR-92a-1 // bfl-miR-92a-2 // bfl-miR-92a-3"	""
"oan-miR-130b_st"	"0.055981"	"3.35e-04"	"4.80"	"0.481504"	"7.64e-01"	"oan-miR-130b"	""
"mmu-miR-199b-staR_st"	"0.055981"	"3.39e-04"	"4.80"	"0.471644"	"1.37"	"mmu-miR-199b"	""
"ptR-miR-224_st"	"0.055981"	"3.40e-04"	"4.80"	"0.469277"	"1.36"	"ptR-miR-224"	""
"ptR-miR-23a_st"	"0.055981"	"3.40e-04"	"4.79"	"0.468553"	"8.84e-01"	"ptR-miR-23a"	""
"Rno-miR-20a_st"	"0.055988"	"3.42e-04"	"-4.79"	"0.462341"	"-6.20e-01"	"Rno-miR-20a"	""
"ppy-miR-1263_st"	"0.056527"	"3.48e-04"	"-4.78"	"0.447396"	"-1.01"	"ppy-miR-1263"	""
"eca-miR-200b_st"	"0.056531"	"3.51e-04"	"4.78"	"0.440634"	"2.11"	"eca-miR-200b"	""
"ppy-miR-23a_st"	"0.056531"	"3.54e-04"	"4.77"	"0.432107"	"8.83e-01"	"ppy-miR-23a"	""
"hsa-miR-23a_st"	"0.056531"	"3.55e-04"	"4.77"	"0.429406"	"8.96e-01"	"hsa-miR-23a"	""
"lgi-miR-92_st"	"0.058197"	"3.68e-04"	"-4.75"	"0.396502"	"-8.91e-01"	"lgi-miR-92"	""
"mdo-miR-1548_st"	"0.058341"	"3.71e-04"	"-4.75"	"0.38834"	"-6.56e-01"	"mdo-miR-1548"	""
"xla-miR-23a_st"	"0.05878"	"3.76e-04"	"4.74"	"0.375538"	"8.93e-01"	"xla-miR-23a"	""
"mml-miR-21_st"	"0.058975"	"3.80e-04"	"4.73"	"0.366664"	"1.47"	"mml-miR-21"	""
"tgu-miR-17a-5p_st"	"0.059306"	"3.84e-04"	"-4.73"	"0.355717"	"-6.05e-01"	"tgu-miR-17a"	""
"ptR-miR-452_st"	"0.059346"	"3.88e-04"	"4.72"	"0.347329"	"7.34e-01"	"ptR-miR-452"	""
"cfa-miR-27a_st"	"0.059346"	"3.91e-04"	"4.72"	"0.340098"	"1.62"	"cfa-miR-27a"	""
"xtR-miR-23a_st"	"0.059346"	"3.92e-04"	"4.72"	"0.335585"	"9.08e-01"	"xtR-miR-23a-1 // xtR-miR-23a-2"	""
"fRu-miR-92_st"	"0.059346"	"3.94e-04"	"-4.71"	"0.3324"	"-9.36e-01"	"fRu-miR-92-1 // fRu-miR-92-2"	""
"mml-miR-139-5p_st"	"0.059609"	"3.99e-04"	"-4.71"	"0.319671"	"-6.90e-01"	"mml-miR-139"	""
"mml-miR-224_st"	"0.059609"	"4.02e-04"	"4.70"	"0.313919"	"1.49"	"mml-miR-224"	""
"mmu-miR-200b_st"	"0.059609"	"4.04e-04"	"4.70"	"0.308121"	"1.84"	"mmu-miR-200b"	""
"tgu-miR-130c_st"	"0.059609"	"4.05e-04"	"4.70"	"0.306145"	"7.42e-01"	"tgu-miR-130c"	""
"cte-miR-92c_st"	"0.059672"	"4.08e-04"	"-4.69"	"0.299707"	"-9.26e-01"	"cte-miR-92c"	""
"AFFX-HUMRGE/M10098_5_st"	"0.059698"	"4.11e-04"	"-4.69"	"0.293354"	"-8.38e-01"	""	"--AffymetRix ContRol Sequence"
"dvi-miR-92a_st"	"0.059698"	"4.13e-04"	"-4.69"	"0.287085"	"-8.31e-01"	"dvi-miR-92a"	""
"eca-miR-23a_st"	"0.059698"	"4.15e-04"	"4.68"	"0.283115"	"9.11e-01"	"eca-miR-23a"	""
"ppy-miR-92_st"	"0.059737"	"4.21e-04"	"-4.68"	"0.269283"	"-9.47e-01"	"ppy-miR-92-1 // ppy-miR-92-2"	""
"mgh28S-2411_st"	"0.059737"	"4.23e-04"	"-4.67"	"0.264883"	"-6.09e-01"	""	"CDBox: mgh28S-2411"
"pma-miR-4600_st"	"0.059737"	"4.24e-04"	"-4.67"	"0.263236"	"-1.21"	"pma-miR-4600"	""
"sla-miR-106a_st"	"0.059737"	"4.27e-04"	"-4.67"	"0.257398"	"-5.73e-01"	"sla-miR-106a"	""
"fRu-miR-20_st"	"0.059737"	"4.27e-04"	"-4.67"	"0.256152"	"-6.05e-01"	"fRu-miR-20"	""
"ppy-miR-223_st"	"0.060612"	"4.36e-04"	"-4.66"	"0.23743"	"-8.14e-01"	"ppy-miR-223"	""
"ppy-miR-17-5p_st"	"0.061369"	"4.45e-04"	"-4.65"	"0.219644"	"-6.33e-01"	"ppy-miR-17"	""
"bta-miR-92_st"	"0.061369"	"4.47e-04"	"-4.64"	"0.214681"	"-9.19e-01"	"bta-miR-92"	""
"oan-miR-199-staR_st"	"0.061369"	"4.52e-04"	"4.64"	"0.204207"	"1.29"	"oan-miR-199"	""
"mml-miR-23a_st"	"0.061369"	"4.55e-04"	"4.63"	"0.197496"	"8.94e-01"	"mml-miR-23a"	""
"Rno-miR-532-5p_st"	"0.061369"	"4.58e-04"	"4.63"	"0.19236"	"8.04e-01"	"Rno-miR-532"	""
"mml-miR-199a-3p_st"	"0.061369"	"4.58e-04"	"4.63"	"0.191697"	"1.43"	"mml-miR-199a-2"	""
"sla-miR-23a_st"	"0.061369"	"4.59e-04"	"4.63"	"0.190356"	"9.12e-01"	"sla-miR-23a"	""
"eca-miR-378_st"	"0.061621"	"4.63e-04"	"-4.62"	"0.181579"	"-1.02"	"eca-miR-378"	""
"hsa-miR-17_st"	"0.061659"	"4.67e-04"	"-4.62"	"0.173294"	"-5.60e-01"	"hsa-miR-17"	""
"mmu-miR-31_st"	"0.061659"	"4.69e-04"	"4.62"	"0.169273"	"2.11"	"mmu-miR-31"	""
"ppa-miR-21_st"	"0.061659"	"4.73e-04"	"4.61"	"0.162846"	"1.29"	"ppa-miR-21"	""
"hsa-miR-221_st"	"0.061659"	"4.75e-04"	"4.61"	"0.157454"	"1.07"	"hsa-miR-221"	""
"age-miR-100_st"	"0.061659"	"4.79e-04"	"4.61"	"0.150864"	"5.72e-01"	"age-miR-100"	""
"gga-miR-17-5p_st"	"0.061659"	"4.81e-04"	"-4.60"	"0.146984"	"-6.17e-01"	"gga-miR-17"	""
"Rno-miR-150_st"	"0.061659"	"4.81e-04"	"4.60"	"0.146961"	"1.74"	"Rno-miR-150"	""
"eca-miR-150_st"	"0.061678"	"4.85e-04"	"4.60"	"0.138723"	"1.83"	"eca-miR-150"	""
"ptR-miR-92_st"	"0.061678"	"4.87e-04"	"-4.60"	"0.134538"	"-8.90e-01"	"ptR-miR-92-1 // ptR-miR-92-2"	""
"xtR-miR-106_st"	"0.061678"	"4.88e-04"	"-4.60"	"0.132454"	"-6.03e-01"	"xtR-miR-106"	""
"mmu-miR-700_st"	"0.062388"	"4.96e-04"	"4.59"	"0.117113"	"1.89"	"mmu-miR-700"	""
"dpe-miR-92a_st"	"0.06265"	"5.01e-04"	"-4.58"	"0.108534"	"-7.13e-01"	"dpe-miR-92a"	""
"AFFX-M27830_5_st"	"0.062867"	"5.05e-04"	"-4.58"	"0.10067"	"-1.06"	""	"--AffymetRix ContRol Sequence"
"mmu-miR-378_st"	"0.063088"	"5.10e-04"	"-4.57"	"0.091277"	"-1.02"	"mmu-miR-378"	""
"mne-miR-199a_st"	"0.063088"	"5.15e-04"	"4.57"	"0.083024"	"9.43e-01"	"mne-miR-199a"	""
"bta-miR-17-5p_st"	"0.063088"	"5.17e-04"	"-4.56"	"0.078274"	"-6.22e-01"	"bta-miR-17"	""
"cRm-miR-239a_st"	"0.063088"	"5.20e-04"	"-4.56"	"0.074452"	"-4.72e-01"	"cRm-miR-239a"	""
"mml-miR-578_st"	"0.063088"	"5.22e-04"	"4.56"	"0.07017"	"5.74e-01"	"mml-miR-578"	""
"cbR-miR-38_st"	"0.063088"	"5.30e-04"	"4.55"	"0.056041"	"8.51e-01"	"cbR-miR-38"	""
"xtR-miR-92a_st"	"0.063088"	"5.31e-04"	"-4.55"	"0.054994"	"-8.40e-01"	"xtR-miR-92a-1 // xtR-miR-92a-2"	""
"tgu-miR-20a_st"	"0.063088"	"5.34e-04"	"-4.55"	"0.048621"	"-5.99e-01"	"tgu-miR-20a"	""
"ptR-miR-378_st"	"0.063088"	"5.35e-04"	"-4.55"	"0.047922"	"-9.36e-01"	"ptR-miR-378"	""
"bmo-miR-3387_st"	"0.063088"	"5.38e-04"	"-4.54"	"0.042034"	"-3.55e-01"	"bmo-miR-3387"	""
"cfa-miR-106a_st"	"0.063088"	"5.41e-04"	"-4.54"	"0.037005"	"-5.60e-01"	"cfa-miR-106a"	""
"vvi-miR166d_st"	"0.063088"	"5.41e-04"	"-4.54"	"0.036557"	"-1.04"	"vvi-MIR166d"	""
"mdo-miR-20_st"	"0.063088"	"5.41e-04"	"-4.54"	"0.036017"	"-5.59e-01"	"mdo-miR-20"	""
