Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0032870~cellular response to hormone stimulus	4	13.793103448275861	9.882504959077578E-6	2354, 2353, 8835, 3485	28	30	19157	91.22380952380952	0.002645020169656398	0.0026485113290327907	0.002618863814155558
GOTERM_BP_DIRECT	GO:0032570~response to progesterone	3	10.344827586206897	0.0012358430686242037	7057, 2354, 2353	28	37	19157	55.47393822393822	0.28208978783574135	0.1656029711956433	0.16374920659270698
GOTERM_BP_DIRECT	GO:0009612~response to mechanical stimulus	3	10.344827586206897	0.0033258063860047114	7057, 2354, 3485	28	61	19157	33.64812646370023	0.5904931214339267	0.2907997633856631	0.28754454215373404
GOTERM_BP_DIRECT	GO:0009410~response to xenobiotic stimulus	4	13.793103448275861	0.00434029497590542	7057, 2354, 2353, 3485	28	236	19157	11.596246973365616	0.6883051750729314	0.2907997633856631	0.28754454215373404
GOTERM_BP_DIRECT	GO:0010748~negative regulation of plasma membrane long-chain fatty acid transport	2	6.896551724137931	0.005626158185855051	7057, 8660	28	4	19157	342.0892857142857	0.7795463830907241	0.3015620787618307	0.2981863838503177
GOTERM_BP_DIRECT	GO:0042493~response to drug	4	13.793103448275861	0.007894750709189225	7057, 2354, 2353, 3485	28	293	19157	9.340321794246709	0.8804701608715327	0.307813406419821	0.30436773395989764
GOTERM_BP_DIRECT	GO:0007565~female pregnancy	3	10.344827586206897	0.008039902406487862	2354, 2353, 3485	28	96	19157	21.380580357142858	0.8850665848853451	0.307813406419821	0.30436773395989764
GOTERM_BP_DIRECT	GO:0043567~regulation of insulin-like growth factor receptor signaling pathway	2	6.896551724137931	0.011221828717260064	3485, 3484	28	8	19157	171.04464285714286	0.9514155595871927	0.37593126202821214	0.3717230762592396
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	4	13.793103448275861	0.018592687458371174	7057, 6364, 3557, 2353	28	403	19157	6.790854306983339	0.9934595200629418	0.5166852220887931	0.5109014322892917
GOTERM_BP_DIRECT	GO:0006366~transcription from RNA polymerase II promoter	3	10.344827586206897	0.019279299331671385	2354, 2353, 1052	28	152	19157	13.503524436090224	0.9945780970413445	0.5166852220887931	0.5109014322892917
GOTERM_BP_DIRECT	GO:0007165~signal transduction	6	20.689655172413794	0.025233002562451392	8660, 6364, 3557, 3485, 3484, 29953	28	1211	19157	3.389819511619677	0.9989397239988421	0.6018498747152993	0.5951127492520683
GOTERM_BP_DIRECT	GO:0051412~response to corticosterone	2	6.896551724137931	0.02782749930358211	2354, 2353	28	20	19157	68.41785714285714	0.9994809453965162	0.6018498747152993	0.5951127492520683
GOTERM_BP_DIRECT	GO:0007568~aging	3	10.344827586206897	0.0291942103406675	2353, 3485, 3484	28	190	19157	10.80281954887218	0.9996439820761513	0.6018498747152993	0.5951127492520683
GOTERM_BP_DIRECT	GO:0006306~DNA methylation	2	6.896551724137931	0.03738977597917901	2353, 29947	28	27	19157	50.67989417989418	0.9999632949365914	0.7157471401728553	0.7077350453201741
GOTERM_BP_DIRECT	GO:0019216~regulation of lipid metabolic process	2	6.896551724137931	0.0508932059680032	8660, 51280	28	37	19157	36.98262548262548	0.9999991673892008	0.9092919466283239	0.8991133054347233
GOTERM_BP_DIRECT	GO:0051591~response to cAMP	2	6.896551724137931	0.0655362780260738	2354, 2353	28	48	19157	28.507440476190474	0.9999999870956702	1.0	0.9925093632958801
GOTERM_BP_DIRECT	GO:0046854~phosphatidylinositol phosphorylation	2	6.896551724137931	0.0760488852865944	8835, 117283	28	56	19157	24.434948979591837	0.9999999993777995	1.0	0.9925093632958801
GOTERM_BP_DIRECT	GO:0043065~positive regulation of apoptotic process	3	10.344827586206897	0.07791290139392713	22822, 10912, 10537	28	329	19157	6.238710377768128	0.9999999996378559	1.0	0.9925093632958801
GOTERM_BP_DIRECT	GO:0008286~insulin receptor signaling pathway	2	6.896551724137931	0.07865918848454655	8660, 3484	28	58	19157	23.5923645320197	0.9999999997084972	1.0	0.9925093632958801
GOTERM_BP_DIRECT	GO:0051384~response to glucocorticoid	2	6.896551724137931	0.09031793200069337	3557, 3485	28	67	19157	20.42324093816631	0.9999999999903967	1.0	0.9925093632958801
